Date,Open,High,Low,Close,Volume
31-Dec-14,2.35,2.40,2.31,2.40,112553
30-Dec-14,2.32,2.43,2.32,2.35,47425
29-Dec-14,2.26,2.43,2.26,2.43,47989
26-Dec-14,2.17,2.27,2.17,2.21,51414
24-Dec-14,2.17,2.20,2.16,2.18,55832
23-Dec-14,2.16,2.23,2.16,2.17,181349
22-Dec-14,2.19,2.24,2.16,2.16,127702
19-Dec-14,2.22,2.25,2.16,2.16,57879
18-Dec-14,2.20,2.24,2.18,2.18,166475
17-Dec-14,2.20,2.26,2.14,2.22,124425
16-Dec-14,2.17,2.27,2.14,2.19,73838
15-Dec-14,2.22,2.27,2.20,2.20,43065
12-Dec-14,2.29,2.30,2.14,2.14,122520
11-Dec-14,2.30,2.32,2.26,2.26,15759
10-Dec-14,2.32,2.34,2.28,2.29,44201
9-Dec-14,2.29,2.34,2.29,2.32,8260
8-Dec-14,2.33,2.38,2.32,2.35,69578
5-Dec-14,2.50,2.50,2.35,2.36,43522
4-Dec-14,2.29,2.31,2.26,2.28,9047
3-Dec-14,2.26,2.33,2.26,2.29,9647
2-Dec-14,2.29,2.35,2.27,2.29,33972
1-Dec-14,2.38,2.38,2.23,2.28,46519
28-Nov-14,2.38,2.40,2.27,2.33,36644
26-Nov-14,2.16,2.38,2.16,2.35,71119
25-Nov-14,2.04,2.27,2.04,2.16,182894
24-Nov-14,2.01,2.02,1.98,2.02,40882
21-Nov-14,1.99,2.09,1.97,2.02,256321
20-Nov-14,1.99,2.03,1.97,1.97,152000
19-Nov-14,1.98,2.02,1.90,1.97,140150
18-Nov-14,2.03,2.03,1.95,2.00,264876
17-Nov-14,1.98,2.03,1.95,2.02,144041
14-Nov-14,1.94,1.97,1.92,1.97,71584
13-Nov-14,1.96,1.97,1.93,1.96,33703
12-Nov-14,1.91,1.95,1.89,1.93,47270
11-Nov-14,1.93,1.96,1.90,1.91,38422
10-Nov-14,1.93,1.94,1.89,1.92,16100
7-Nov-14,1.93,1.94,1.92,1.93,13385
6-Nov-14,1.92,1.95,1.92,1.95,32189
5-Nov-14,1.95,1.95,1.88,1.95,197853
4-Nov-14,1.92,1.99,1.91,1.95,115973
3-Nov-14,1.94,1.98,1.92,1.95,39075
31-Oct-14,1.93,1.97,1.90,1.97,73824
30-Oct-14,1.98,2.03,1.91,1.93,59478
29-Oct-14,1.95,2.07,1.93,2.02,56581
28-Oct-14,1.90,1.97,1.90,1.90,69468
27-Oct-14,1.94,1.99,1.90,1.91,72141
24-Oct-14,2.00,2.00,1.90,1.97,30450
23-Oct-14,2.08,2.08,1.99,2.00,7500
22-Oct-14,2.00,2.01,1.94,1.99,43343
21-Oct-14,1.96,2.01,1.96,2.00,47715
20-Oct-14,1.95,2.04,1.94,1.99,114347
17-Oct-14,1.95,2.00,1.92,1.96,53464
16-Oct-14,1.98,1.98,1.91,1.97,155056
15-Oct-14,1.97,2.00,1.90,1.95,127355
14-Oct-14,2.02,2.07,1.95,1.96,178281
13-Oct-14,2.03,2.08,2.00,2.00,153399
10-Oct-14,2.26,2.28,2.02,2.06,396623
9-Oct-14,2.34,2.36,2.25,2.30,124555
8-Oct-14,2.50,2.50,2.16,2.34,163781
7-Oct-14,2.69,2.73,2.65,2.67,20239
6-Oct-14,2.63,2.74,2.57,2.69,10800
3-Oct-14,2.62,2.70,2.61,2.66,22948
2-Oct-14,2.68,2.70,2.65,2.69,32507
