Date,Open,High,Low,Close,Volume
31-Dec-14,15.88,15.88,15.64,15.82,3966
30-Dec-14,15.63,15.72,15.58,15.72,136226
29-Dec-14,15.84,15.84,15.48,15.72,20739
26-Dec-14,16.04,16.05,15.69,15.82,5162
24-Dec-14,16.02,16.11,15.49,15.91,5907
23-Dec-14,15.88,16.07,15.88,15.88,5791
22-Dec-14,15.72,15.93,15.70,15.88,9483
19-Dec-14,15.43,15.83,15.25,15.82,30768
18-Dec-14,15.50,15.50,15.25,15.50,19830
17-Dec-14,15.30,15.50,14.70,15.49,22823
16-Dec-14,15.03,15.50,15.03,15.27,7691
15-Dec-14,15.44,15.50,15.04,15.39,21595
12-Dec-14,15.26,15.62,15.20,15.27,8448
11-Dec-14,15.15,15.65,15.15,15.45,7855
10-Dec-14,15.64,15.65,15.03,15.03,8824
9-Dec-14,15.09,15.64,14.77,15.50,12457
8-Dec-14,14.91,15.28,13.96,15.11,69764
5-Dec-14,15.16,15.61,14.60,14.98,16907
4-Dec-14,14.64,15.26,14.64,15.17,3252
3-Dec-14,15.27,15.52,15.27,15.42,6747
2-Dec-14,14.37,15.48,14.30,15.09,7319
1-Dec-14,15.44,15.44,14.22,14.22,15626
28-Nov-14,15.83,15.96,15.36,15.37,4510
26-Nov-14,15.97,15.97,15.73,15.96,5940
25-Nov-14,16.02,16.02,15.86,15.95,10134
24-Nov-14,15.80,16.19,15.61,15.99,11231
21-Nov-14,15.67,15.82,15.06,15.72,11086
20-Nov-14,15.26,15.99,15.26,15.51,7823
19-Nov-14,15.25,15.57,15.25,15.46,6676
18-Nov-14,15.47,15.47,14.94,14.99,11098
17-Nov-14,15.40,15.87,15.40,15.55,12937
14-Nov-14,15.78,15.78,15.41,15.42,3594
13-Nov-14,15.69,16.20,15.67,15.73,10902
12-Nov-14,15.37,15.62,15.30,15.61,7641
11-Nov-14,15.91,15.91,14.60,15.39,11338
10-Nov-14,15.55,16.00,15.37,15.98,13940
7-Nov-14,15.71,15.81,15.40,15.81,11131
6-Nov-14,15.69,15.69,15.25,15.63,8426
5-Nov-14,15.48,16.03,15.18,15.77,10880
4-Nov-14,15.82,15.82,15.30,15.42,8081
3-Nov-14,16.00,16.04,15.76,15.92,14519
31-Oct-14,16.06,16.06,15.57,15.98,23117
30-Oct-14,15.26,15.96,15.11,15.87,26338
29-Oct-14,15.34,15.46,15.31,15.35,5286
28-Oct-14,15.10,15.39,15.01,15.39,13280
27-Oct-14,15.22,15.25,15.07,15.12,4009
24-Oct-14,15.57,15.58,15.20,15.41,15206
23-Oct-14,15.54,15.75,15.16,15.61,20284
22-Oct-14,15.53,15.53,15.24,15.49,12832
21-Oct-14,15.44,15.72,15.39,15.56,5316
20-Oct-14,15.63,15.63,15.15,15.44,11725
17-Oct-14,16.21,16.21,15.59,15.62,12556
16-Oct-14,16.01,16.08,15.70,16.00,7737
15-Oct-14,15.73,15.92,15.25,15.76,21135
14-Oct-14,15.36,15.97,15.36,15.97,27498
