Date,Open,High,Low,Close,Volume
31-Dec-14,5.19,5.49,4.79,5.02,926
30-Dec-14,4.45,4.83,4.45,4.65,5470
29-Dec-14,4.45,4.76,4.43,4.49,8102
26-Dec-14,4.45,4.57,4.36,4.45,2935
23-Dec-14,4.56,4.56,4.47,4.56,432
22-Dec-14,4.45,4.57,4.45,4.50,788
19-Dec-14,4.51,4.54,4.51,4.54,4466
18-Dec-14,4.50,4.52,4.45,4.52,3660
17-Dec-14,4.41,4.56,4.41,4.47,4112
16-Dec-14,4.55,4.55,4.46,4.48,928
15-Dec-14,4.56,4.56,4.45,4.48,643
12-Dec-14,4.55,4.55,4.46,4.48,590
11-Dec-14,4.44,4.57,4.44,4.47,1124
10-Dec-14,4.47,4.55,4.45,4.47,3428
9-Dec-14,4.45,4.58,4.45,4.51,7175
8-Dec-14,4.63,4.71,4.47,4.47,6611
5-Dec-14,4.44,4.69,4.38,4.59,19258
4-Dec-14,4.49,4.50,4.42,4.50,6450
3-Dec-14,4.49,4.50,4.49,4.50,476
2-Dec-14,4.50,4.50,4.50,4.50,100
1-Dec-14,4.50,4.50,4.50,4.50,200
28-Nov-14,4.48,4.49,4.48,4.49,451
26-Nov-14,4.50,4.50,4.45,4.49,668
25-Nov-14,4.45,4.55,4.45,4.50,579
24-Nov-14,4.38,4.38,4.38,4.38,200
21-Nov-14,4.50,4.50,4.32,4.32,619
19-Nov-14,4.39,4.42,4.35,4.35,3475
18-Nov-14,4.44,4.44,4.33,4.42,7197
17-Nov-14,4.30,4.76,4.30,4.46,4773
14-Nov-14,4.45,4.45,4.45,4.45,231
12-Nov-14,4.43,4.50,4.40,4.40,634
7-Nov-14,4.18,4.23,4.18,4.23,334
6-Nov-14,4.24,4.31,4.23,4.31,798
5-Nov-14,4.25,4.90,4.16,4.16,30287
3-Nov-14,4.37,4.37,4.37,4.37,100
31-Oct-14,4.37,4.40,4.21,4.21,702
30-Oct-14,4.40,4.40,4.40,4.40,100
29-Oct-14,4.18,4.41,4.18,4.41,450
28-Oct-14,4.40,4.40,4.40,4.40,200
27-Oct-14,4.26,4.27,4.16,4.26,650
24-Oct-14,4.17,4.41,4.17,4.37,400
20-Oct-14,4.34,4.34,4.34,4.34,200
17-Oct-14,4.41,4.41,4.15,4.15,1983
15-Oct-14,4.39,4.39,4.16,4.35,413
14-Oct-14,4.25,4.39,4.19,4.39,3287
13-Oct-14,4.43,4.47,4.21,4.47,8912
9-Oct-14,4.35,4.35,4.35,4.35,100
7-Oct-14,4.33,4.40,4.33,4.37,866
6-Oct-14,4.37,4.38,4.36,4.38,900
3-Oct-14,4.38,4.53,4.36,4.39,5448
2-Oct-14,4.47,4.48,4.31,4.33,5927
1-Oct-14,4.65,4.65,4.45,4.50,4417
30-Sep-14,4.61,4.61,4.61,4.61,132
29-Sep-14,4.59,4.59,4.36,4.58,2260
26-Sep-14,4.50,4.56,4.41,4.47,4747
25-Sep-14,4.50,4.80,4.50,4.58,19403
24-Sep-14,4.44,4.65,4.44,4.65,280
23-Sep-14,4.66,4.73,4.61,4.73,1003
22-Sep-14,4.45,4.62,4.44,4.62,3458
19-Sep-14,4.69,4.69,4.40,4.40,1570
18-Sep-14,4.72,4.72,4.40,4.41,5746
17-Sep-14,4.47,4.60,4.39,4.39,9186
16-Sep-14,4.50,4.50,4.39,4.39,1432
15-Sep-14,4.49,4.53,4.33,4.46,11108
12-Sep-14,4.48,4.51,4.46,4.50,1865
11-Sep-14,4.33,4.58,4.33,4.36,2364
10-Sep-14,4.43,4.69,4.38,4.41,5834
9-Sep-14,4.51,4.76,4.33,4.42,8060
8-Sep-14,4.41,4.60,4.36,4.40,5070
5-Sep-14,4.43,4.54,4.32,4.40,10216
4-Sep-14,4.37,4.67,4.37,4.41,16464
3-Sep-14,4.58,4.73,4.45,4.73,2431
2-Sep-14,4.36,4.52,4.30,4.30,9347
29-Aug-14,4.38,4.93,4.32,4.36,7295
28-Aug-14,4.33,4.42,4.30,4.42,713
27-Aug-14,4.35,4.40,4.35,4.39,10923
26-Aug-14,4.31,4.31,4.30,4.30,753
25-Aug-14,4.32,4.32,4.32,4.32,100
22-Aug-14,4.33,4.69,4.28,4.31,6196
21-Aug-14,4.31,4.54,4.31,4.41,770
20-Aug-14,4.31,4.35,4.30,4.32,400
19-Aug-14,4.63,4.63,4.32,4.34,5242
18-Aug-14,4.55,4.71,4.38,4.43,4342
15-Aug-14,4.50,4.50,4.32,4.35,7214
14-Aug-14,4.43,4.53,4.43,4.44,133453
12-Aug-14,4.40,4.40,4.34,4.34,1100
11-Aug-14,4.54,4.54,4.48,4.48,649
8-Aug-14,4.78,4.80,4.53,4.64,5305
6-Aug-14,4.88,4.88,4.88,4.88,220
5-Aug-14,4.63,4.64,4.63,4.63,1922
4-Aug-14,4.81,4.97,4.56,4.58,1038
1-Aug-14,4.81,4.81,4.81,4.81,105
31-Jul-14,4.65,4.82,4.65,4.79,1100
30-Jul-14,4.62,4.62,4.62,4.62,270
29-Jul-14,4.77,4.88,4.56,4.56,8326
28-Jul-14,4.73,4.76,4.73,4.74,1557
25-Jul-14,4.89,4.89,4.66,4.78,24800
23-Jul-14,4.75,4.89,4.57,4.57,33986
22-Jul-14,4.46,4.76,4.46,4.60,10691
21-Jul-14,4.44,4.53,4.44,4.53,491
18-Jul-14,4.49,4.50,4.44,4.44,2909
17-Jul-14,4.55,4.55,4.44,4.45,7457
16-Jul-14,4.57,4.64,4.55,4.55,1415
15-Jul-14,4.55,4.67,4.55,4.56,397
14-Jul-14,4.58,4.58,4.57,4.57,257
11-Jul-14,4.56,4.56,4.56,4.56,100
10-Jul-14,4.56,4.56,4.56,4.56,181
8-Jul-14,4.61,4.64,4.57,4.62,2294
2-Jul-14,4.59,4.65,4.56,4.65,1593
1-Jul-14,4.56,4.58,4.56,4.58,2011
30-Jun-14,4.60,4.63,4.56,4.63,17900
26-Jun-14,4.46,4.46,4.46,4.46,120
25-Jun-14,4.52,4.56,4.52,4.56,865
24-Jun-14,4.45,4.70,4.45,4.53,988
23-Jun-14,4.96,4.96,4.85,4.85,259
20-Jun-14,4.94,4.94,4.77,4.77,547
19-Jun-14,4.81,4.81,4.81,4.81,269
18-Jun-14,4.51,4.85,4.51,4.85,453
17-Jun-14,4.65,4.70,4.49,4.70,967
16-Jun-14,4.51,4.67,4.51,4.67,668
12-Jun-14,4.49,4.49,4.48,4.49,655
11-Jun-14,4.49,4.50,4.39,4.49,2340
10-Jun-14,4.40,4.49,4.35,4.49,4756
9-Jun-14,4.47,4.48,4.37,4.48,2212
6-Jun-14,4.47,4.48,4.40,4.45,6276
