Date,Open,High,Low,Close,Volume
31-Dec-14,6.59,6.62,6.50,6.54,204004
30-Dec-14,6.70,6.70,6.55,6.61,106915
29-Dec-14,6.74,6.80,6.65,6.68,202760
26-Dec-14,6.71,6.73,6.57,6.72,182245
24-Dec-14,6.57,6.72,6.56,6.71,127893
23-Dec-14,6.62,6.66,6.50,6.54,233302
22-Dec-14,6.54,6.62,6.47,6.60,228767
19-Dec-14,6.75,6.75,6.42,6.55,1471952
18-Dec-14,6.68,6.76,6.56,6.75,353261
17-Dec-14,6.47,6.68,6.45,6.60,347099
16-Dec-14,6.50,6.69,6.46,6.48,412672
15-Dec-14,6.54,6.61,6.33,6.50,413905
12-Dec-14,6.41,6.62,6.41,6.52,612688
11-Dec-14,6.33,6.58,6.26,6.51,501656
10-Dec-14,6.20,6.35,6.18,6.28,293607
9-Dec-14,6.09,6.29,6.01,6.24,621302
8-Dec-14,6.20,6.42,6.10,6.17,298235
5-Dec-14,6.20,6.35,6.18,6.24,225504
4-Dec-14,6.20,6.29,6.15,6.21,215929
3-Dec-14,6.13,6.31,6.10,6.27,330920
2-Dec-14,6.07,6.17,6.01,6.12,307830
1-Dec-14,6.45,6.51,6.00,6.04,357795
28-Nov-14,6.75,6.77,6.47,6.48,125603
26-Nov-14,6.52,6.86,6.52,6.77,748993
25-Nov-14,6.48,6.58,6.47,6.54,486648
24-Nov-14,6.41,6.49,6.33,6.46,423190
21-Nov-14,6.37,6.41,6.26,6.38,492105
20-Nov-14,6.28,6.38,6.18,6.30,268376
19-Nov-14,6.38,6.41,6.15,6.31,624092
18-Nov-14,6.52,6.58,6.31,6.34,258094
17-Nov-14,6.45,6.60,6.42,6.48,330735
14-Nov-14,6.44,6.51,6.33,6.48,982176
13-Nov-14,6.61,6.68,6.37,6.47,358966
12-Nov-14,6.40,6.62,6.33,6.57,1019028
11-Nov-14,6.44,6.45,6.09,6.40,1977698
10-Nov-14,5.82,6.08,5.69,6.07,1281364
7-Nov-14,5.80,5.86,5.55,5.80,3137111
6-Nov-14,6.25,6.29,6.12,6.25,99930
