Date,Open,High,Low,Close,Volume
31-Dec-14,9.98,9.98,9.95,9.95,4300
30-Dec-14,10.10,10.13,9.92,10.03,13949
29-Dec-14,9.95,10.10,9.94,9.98,12050
26-Dec-14,9.94,9.99,9.94,9.99,8501
24-Dec-14,9.97,10.05,9.96,10.05,2300
23-Dec-14,9.96,9.97,9.95,9.97,3800
22-Dec-14,9.97,10.00,9.93,9.97,10823
19-Dec-14,9.93,9.96,9.91,9.96,9630
18-Dec-14,9.95,9.96,9.90,9.96,11799
17-Dec-14,9.95,9.95,9.95,9.95,2560
16-Dec-14,9.95,9.96,9.92,9.92,550
15-Dec-14,10.03,10.03,9.97,9.97,401
12-Dec-14,9.91,9.95,9.90,9.90,23126
11-Dec-14,9.97,9.97,9.90,9.96,14256
10-Dec-14,9.92,9.97,9.92,9.96,12700
9-Dec-14,9.95,9.97,9.90,9.94,25000
8-Dec-14,9.97,9.97,9.92,9.93,16650
5-Dec-14,9.96,9.97,9.95,9.97,9951
4-Dec-14,9.97,9.97,9.97,9.97,2150
3-Dec-14,9.97,9.97,9.96,9.96,1000
2-Dec-14,9.90,9.98,9.90,9.98,7500
1-Dec-14,9.96,9.98,9.96,9.97,8244
28-Nov-14,10.00,10.00,9.96,9.96,1602
26-Nov-14,10.00,10.00,9.96,9.98,15079
25-Nov-14,10.10,10.10,9.97,10.00,10253
24-Nov-14,10.01,10.05,10.00,10.00,4250
21-Nov-14,9.96,10.00,9.96,10.00,27346
20-Nov-14,9.97,10.00,9.97,10.00,12100
19-Nov-14,10.00,10.00,9.98,9.99,19704
18-Nov-14,9.97,10.07,9.96,10.07,3050
17-Nov-14,10.00,10.00,10.00,10.00,1450
14-Nov-14,9.99,10.00,9.99,10.00,12150
13-Nov-14,10.00,10.00,9.99,10.00,3100
12-Nov-14,10.00,10.00,9.97,10.00,5525
11-Nov-14,10.05,10.05,9.99,10.00,1350
10-Nov-14,10.00,10.00,9.99,10.00,1600
7-Nov-14,9.95,10.00,9.90,10.00,16730
6-Nov-14,10.00,10.00,10.00,10.00,2600
5-Nov-14,9.94,10.00,9.94,10.00,725
3-Nov-14,9.96,10.00,9.92,9.98,3750
31-Oct-14,9.98,10.00,9.93,10.00,34735
30-Oct-14,10.00,10.00,9.97,10.00,45795
29-Oct-14,10.00,10.00,9.99,10.00,56576
27-Oct-14,10.00,10.00,10.00,10.00,4150
23-Oct-14,9.90,10.03,9.90,10.03,500
22-Oct-14,10.04,10.04,9.99,10.02,7650
21-Oct-14,10.05,10.05,9.96,9.98,10895
20-Oct-14,10.05,10.10,10.00,10.00,45700
17-Oct-14,10.05,10.05,9.95,9.95,8940
16-Oct-14,10.07,10.07,9.96,10.00,35781
15-Oct-14,10.00,10.00,9.99,10.00,30602
14-Oct-14,9.93,10.05,9.93,10.05,1100
13-Oct-14,10.15,10.19,10.08,10.08,1200
10-Oct-14,10.15,10.15,10.00,10.00,7500
9-Oct-14,10.10,10.10,10.10,10.10,3650
8-Oct-14,10.10,10.10,10.10,10.10,804
7-Oct-14,10.11,10.11,10.10,10.10,1200
6-Oct-14,10.25,10.25,10.25,10.25,770
3-Oct-14,10.29,10.29,9.87,10.05,12325
2-Oct-14,10.09,10.30,9.98,10.20,17873
