Date,Open,High,Low,Close,Volume
31-Dec-14,1.62,1.67,1.62,1.65,312580
30-Dec-14,1.66,1.70,1.62,1.63,272671
29-Dec-14,1.73,1.75,1.65,1.67,216871
26-Dec-14,1.69,1.75,1.69,1.71,100120
24-Dec-14,1.70,1.73,1.66,1.71,113657
23-Dec-14,1.70,1.78,1.69,1.71,321090
22-Dec-14,1.66,1.74,1.66,1.71,300991
19-Dec-14,1.73,1.74,1.66,1.68,125673
18-Dec-14,1.67,1.78,1.67,1.73,357064
17-Dec-14,1.63,1.67,1.61,1.65,318319
16-Dec-14,1.61,1.64,1.61,1.62,130754
15-Dec-14,1.66,1.72,1.60,1.65,400493
12-Dec-14,1.71,1.78,1.65,1.68,210413
11-Dec-14,1.70,1.77,1.69,1.74,224931
10-Dec-14,1.74,1.82,1.69,1.71,615605
9-Dec-14,1.58,1.75,1.53,1.75,458982
8-Dec-14,1.68,1.70,1.58,1.60,559768
5-Dec-14,1.70,1.78,1.67,1.67,350302
4-Dec-14,1.77,1.77,1.67,1.67,450248
3-Dec-14,1.68,1.79,1.64,1.78,633285
2-Dec-14,1.68,1.70,1.62,1.68,474088
1-Dec-14,1.78,1.78,1.61,1.63,908649
28-Nov-14,1.81,1.83,1.73,1.76,334939
26-Nov-14,1.72,1.84,1.70,1.83,710993
25-Nov-14,1.65,1.77,1.62,1.72,1143703
24-Nov-14,1.63,1.65,1.60,1.62,1119134
21-Nov-14,1.65,1.69,1.60,1.61,4697431
20-Nov-14,1.99,2.04,1.90,1.90,513723
19-Nov-14,2.00,2.04,1.94,1.98,203247
18-Nov-14,2.16,2.18,1.97,2.02,698381
17-Nov-14,2.36,2.44,2.15,2.17,486002
14-Nov-14,2.35,2.40,2.34,2.38,228743
13-Nov-14,2.38,2.41,2.33,2.37,234366
12-Nov-14,2.35,2.45,2.30,2.40,446017
11-Nov-14,2.45,2.45,2.06,2.34,2140106
10-Nov-14,2.66,2.74,2.60,2.60,300157
7-Nov-14,2.56,2.69,2.47,2.67,286317
6-Nov-14,2.52,2.60,2.48,2.57,206710
5-Nov-14,2.56,2.64,2.49,2.52,366649
4-Nov-14,2.44,2.55,2.42,2.55,266637
3-Nov-14,2.34,2.49,2.34,2.43,418418
31-Oct-14,2.34,2.40,2.29,2.37,280110
30-Oct-14,2.32,2.38,2.25,2.32,140443
29-Oct-14,2.27,2.31,2.22,2.31,111523
28-Oct-14,2.24,2.33,2.15,2.30,239338
27-Oct-14,2.25,2.32,2.14,2.18,275986
24-Oct-14,2.26,2.33,2.20,2.25,200173
23-Oct-14,2.30,2.32,2.20,2.30,303910
22-Oct-14,2.35,2.35,2.16,2.19,455956
21-Oct-14,2.33,2.49,2.25,2.35,1106150
20-Oct-14,2.13,2.21,2.07,2.17,252138
17-Oct-14,2.38,2.40,2.01,2.10,797903
16-Oct-14,1.96,2.27,1.91,2.20,585300
15-Oct-14,1.88,1.98,1.86,1.97,372831
14-Oct-14,2.09,2.10,1.90,1.94,340055
13-Oct-14,1.92,2.03,1.80,1.96,611751
10-Oct-14,2.03,2.10,1.90,1.92,856227
9-Oct-14,2.24,2.25,2.03,2.07,514931
8-Oct-14,2.21,2.27,2.15,2.23,399701
7-Oct-14,2.43,2.43,2.14,2.16,1228552
6-Oct-14,2.61,2.70,2.47,2.52,566418
3-Oct-14,2.55,2.68,2.50,2.61,415315
2-Oct-14,2.61,2.62,2.47,2.55,609501
1-Oct-14,2.73,2.80,2.61,2.64,715689
30-Sep-14,2.67,2.86,2.54,2.77,1214496
29-Sep-14,2.76,2.83,2.67,2.69,764379
26-Sep-14,2.94,2.97,2.73,2.82,1170077
25-Sep-14,2.87,3.04,2.80,2.98,965012
24-Sep-14,3.02,3.13,2.86,2.93,1246972
23-Sep-14,3.47,3.48,3.08,3.10,3927761
22-Sep-14,3.13,3.25,2.88,2.92,1859834
19-Sep-14,3.51,3.53,3.06,3.11,2515978
18-Sep-14,3.53,3.70,3.28,3.54,2335733
17-Sep-14,4.00,4.04,3.50,3.51,3280764
16-Sep-14,3.50,3.81,3.41,3.63,3881753
15-Sep-14,4.15,4.59,3.57,3.61,20066526
12-Sep-14,3.37,3.94,3.30,3.80,8003550
11-Sep-14,3.50,3.60,3.12,3.29,5909146
10-Sep-14,3.81,5.00,3.49,3.55,32473833
9-Sep-14,3.18,3.35,2.84,3.32,2975796
8-Sep-14,2.94,3.27,2.86,3.17,3208410
5-Sep-14,2.90,2.94,2.76,2.89,374752
4-Sep-14,2.72,2.95,2.71,2.83,667542
3-Sep-14,3.07,3.07,2.71,2.72,873492
2-Sep-14,2.75,3.08,2.59,3.00,1195766
29-Aug-14,3.00,3.01,2.64,2.71,1294740
28-Aug-14,2.32,2.98,2.30,2.85,3376866
27-Aug-14,2.29,2.34,2.29,2.31,92933
26-Aug-14,2.31,2.34,2.29,2.31,93922
25-Aug-14,2.31,2.33,2.23,2.29,143042
22-Aug-14,2.26,2.33,2.24,2.31,80491
21-Aug-14,2.32,2.33,2.19,2.26,149294
20-Aug-14,2.38,2.38,2.31,2.32,46206
19-Aug-14,2.44,2.44,2.33,2.39,103000
18-Aug-14,2.44,2.46,2.36,2.42,48628
15-Aug-14,2.32,2.43,2.29,2.40,226679
14-Aug-14,2.31,2.56,2.27,2.32,557317
13-Aug-14,2.27,2.31,2.25,2.31,113199
12-Aug-14,2.25,2.28,2.22,2.27,37866
11-Aug-14,2.19,2.24,2.19,2.23,65257
8-Aug-14,2.17,2.22,2.17,2.20,31156
7-Aug-14,2.18,2.22,2.16,2.19,51106
6-Aug-14,2.11,2.22,2.11,2.20,61660
5-Aug-14,2.14,2.17,2.13,2.14,54044
4-Aug-14,2.12,2.17,2.09,2.14,48413
1-Aug-14,2.06,2.14,2.03,2.09,167623
31-Jul-14,2.15,2.21,2.06,2.09,201608
30-Jul-14,2.20,2.28,2.16,2.19,49788
29-Jul-14,2.19,2.24,2.19,2.21,87436
28-Jul-14,2.20,2.28,2.14,2.20,149285
25-Jul-14,2.24,2.29,2.21,2.24,71528
24-Jul-14,2.22,2.28,2.18,2.25,150759
23-Jul-14,2.27,2.30,2.17,2.21,201497
22-Jul-14,2.26,2.37,2.20,2.29,455832
21-Jul-14,2.12,2.18,2.12,2.14,35566
18-Jul-14,2.11,2.17,2.07,2.16,45310
17-Jul-14,2.18,2.20,2.11,2.13,21821
16-Jul-14,2.12,2.18,2.10,2.18,87951
15-Jul-14,2.12,2.15,2.10,2.12,46853
14-Jul-14,2.19,2.20,2.11,2.14,117477
11-Jul-14,2.20,2.26,2.15,2.17,37195
10-Jul-14,2.25,2.26,2.20,2.22,40634
9-Jul-14,2.18,2.26,2.13,2.25,72099
8-Jul-14,2.20,2.22,2.10,2.18,95351
7-Jul-14,2.21,2.32,2.20,2.23,96259
3-Jul-14,2.41,2.41,2.28,2.28,64063
2-Jul-14,2.26,2.41,2.25,2.33,267515
1-Jul-14,2.36,2.40,2.22,2.30,113502
30-Jun-14,2.40,2.47,2.33,2.38,93075
27-Jun-14,2.41,2.46,2.40,2.43,22506
26-Jun-14,2.38,2.43,2.35,2.40,72090
