Date,Open,High,Low,Close,Volume
31-Dec-14,9.24,9.30,8.95,9.20,2930975
30-Dec-14,9.06,9.50,8.98,9.25,3599704
29-Dec-14,9.06,9.16,8.85,8.89,2848278
26-Dec-14,9.35,9.37,9.10,9.12,2332690
24-Dec-14,8.88,9.15,8.69,9.05,2424771
23-Dec-14,9.00,9.30,8.77,8.80,3349828
22-Dec-14,9.65,9.72,8.96,9.04,4455538
19-Dec-14,9.46,9.84,9.44,9.63,7560761
18-Dec-14,9.44,9.58,9.15,9.50,3757144
17-Dec-14,8.95,9.28,8.80,9.28,4745350
16-Dec-14,9.26,9.35,8.86,8.91,3785701
15-Dec-14,9.59,9.78,8.98,9.03,4111501
12-Dec-14,9.80,10.00,9.63,9.76,2187730
11-Dec-14,9.95,10.21,9.75,9.83,3070061
10-Dec-14,10.48,10.75,10.01,10.03,3012206
9-Dec-14,10.19,10.68,10.07,10.50,2960470
8-Dec-14,9.98,9.98,9.40,9.83,2619452
5-Dec-14,9.92,10.02,9.72,9.85,2258677
4-Dec-14,10.16,10.43,10.01,10.07,1806408
3-Dec-14,9.94,10.47,9.94,10.29,2242666
2-Dec-14,9.91,10.25,9.70,9.82,2287958
1-Dec-14,9.56,10.22,9.47,10.16,3973179
28-Nov-14,9.96,9.96,9.32,9.36,2199199
26-Nov-14,10.55,10.55,10.20,10.29,1722526
25-Nov-14,10.15,10.59,10.13,10.59,2232883
24-Nov-14,10.23,10.35,9.95,10.12,2887447
21-Nov-14,10.80,10.92,10.40,10.50,3224257
20-Nov-14,10.49,10.80,10.33,10.67,2863300
19-Nov-14,10.85,10.88,10.19,10.30,4451092
18-Nov-14,10.49,10.93,10.44,10.91,3296495
17-Nov-14,10.01,10.37,9.86,10.26,2819902
14-Nov-14,9.22,10.12,8.96,10.12,4649080
13-Nov-14,9.58,9.63,9.25,9.30,2515097
12-Nov-14,9.73,9.93,9.24,9.47,2532178
11-Nov-14,9.23,9.80,9.23,9.60,2461786
10-Nov-14,9.97,9.97,9.11,9.17,3092422
7-Nov-14,9.45,10.12,9.31,10.08,3167988
6-Nov-14,8.83,9.45,8.80,9.29,2982783
5-Nov-14,8.96,9.26,8.75,8.79,3003286
4-Nov-14,9.40,9.51,9.13,9.14,2318546
3-Nov-14,9.32,9.63,9.17,9.49,2757845
31-Oct-14,9.42,9.66,9.22,9.23,4000656
30-Oct-14,10.12,10.18,9.71,9.87,3253929
29-Oct-14,10.57,10.76,10.16,10.23,1770626
28-Oct-14,10.46,10.70,10.42,10.68,1169273
27-Oct-14,10.49,10.50,10.27,10.40,1243879
24-Oct-14,10.75,10.85,10.49,10.54,1356940
23-Oct-14,10.32,10.81,10.27,10.72,1806866
22-Oct-14,10.68,10.79,10.27,10.27,1380396
21-Oct-14,10.94,11.13,10.75,10.80,1280318
20-Oct-14,10.73,10.83,10.60,10.80,1254737
17-Oct-14,11.03,11.08,10.49,10.55,2200712
16-Oct-14,10.63,11.06,10.52,10.98,2143065
15-Oct-14,10.66,11.08,10.64,10.78,2353910
14-Oct-14,10.62,10.94,10.51,10.63,2259918
13-Oct-14,10.36,10.78,10.25,10.53,2102430
10-Oct-14,10.31,10.70,10.10,10.20,1908926
9-Oct-14,10.85,10.90,10.14,10.35,2694210
8-Oct-14,10.08,10.85,9.76,10.80,2852569
7-Oct-14,10.40,10.41,9.95,9.95,1848222
6-Oct-14,10.42,10.55,10.27,10.38,2076638
3-Oct-14,10.71,10.71,10.13,10.30,2661983
2-Oct-14,11.02,11.08,10.66,10.91,1949468
1-Oct-14,11.07,11.32,10.98,11.02,1521006
30-Sep-14,11.22,11.31,10.86,10.98,3468944
29-Sep-14,11.68,11.69,11.32,11.38,1313609
26-Sep-14,11.67,11.72,11.54,11.62,912435
25-Sep-14,11.61,11.76,11.46,11.73,1657939
24-Sep-14,11.88,12.02,11.70,11.78,1584400
23-Sep-14,11.93,12.22,11.90,12.17,1484048
22-Sep-14,12.09,12.09,11.72,11.82,1610912
19-Sep-14,12.41,12.57,12.07,12.14,1966310
18-Sep-14,12.66,12.66,12.37,12.43,1270495
17-Sep-14,12.72,12.96,12.65,12.67,1678182
16-Sep-14,12.63,12.79,12.45,12.71,1578489
15-Sep-14,12.86,12.88,12.61,12.66,770434
12-Sep-14,12.97,13.00,12.66,12.76,1225131
11-Sep-14,12.85,13.12,12.69,13.06,1460589
10-Sep-14,12.90,13.23,12.85,12.95,1028113
9-Sep-14,12.92,13.13,12.72,13.04,1346750
8-Sep-14,13.39,13.42,12.88,12.95,1534481
5-Sep-14,13.47,13.60,13.17,13.45,1354912
4-Sep-14,14.09,14.31,13.41,13.44,2040624
3-Sep-14,14.17,14.23,14.03,14.05,612400
2-Sep-14,14.09,14.29,14.02,14.09,1125256
29-Aug-14,14.14,14.45,14.07,14.36,800357
28-Aug-14,14.22,14.31,14.12,14.22,539953
27-Aug-14,14.16,14.16,13.95,14.07,471621
26-Aug-14,13.85,14.12,13.85,14.09,715049
25-Aug-14,14.11,14.14,13.75,13.76,879209
22-Aug-14,14.10,14.18,13.93,14.09,689561
21-Aug-14,14.19,14.19,13.94,14.03,1373878
