Date,Open,High,Low,Close,Volume
31-Dec-14,4.64,4.98,4.55,4.75,9667
30-Dec-14,4.89,4.99,4.63,4.89,6164
29-Dec-14,4.99,4.99,4.70,4.70,764
26-Dec-14,4.61,4.75,4.55,4.62,11773
24-Dec-14,4.62,4.66,4.62,4.66,463
23-Dec-14,4.64,4.74,4.62,4.74,3943
22-Dec-14,4.61,4.75,4.61,4.74,11243
19-Dec-14,5.24,5.25,4.61,4.61,18827
18-Dec-14,5.04,5.25,4.79,5.15,9864
17-Dec-14,4.85,5.04,4.81,5.03,5826
16-Dec-14,4.99,4.99,4.50,4.99,10267
15-Dec-14,4.95,5.02,4.75,5.02,4998
12-Dec-14,5.10,5.10,4.95,5.00,8975
11-Dec-14,5.26,5.27,5.00,5.16,2700
10-Dec-14,5.50,5.50,5.16,5.29,13200
9-Dec-14,5.45,5.55,5.20,5.48,6500
8-Dec-14,5.63,5.64,5.08,5.20,12186
5-Dec-14,5.17,5.44,5.06,5.44,12611
4-Dec-14,5.14,5.14,5.04,5.10,1799
3-Dec-14,5.25,5.27,5.02,5.03,5354
2-Dec-14,4.91,5.27,4.91,5.27,7113
1-Dec-14,5.12,5.23,4.85,5.23,10340
28-Nov-14,5.24,5.24,5.24,5.24,574
26-Nov-14,5.07,5.25,5.06,5.25,13860
25-Nov-14,5.00,5.09,4.99,5.09,10548
24-Nov-14,4.70,5.15,4.65,5.09,48010
21-Nov-14,4.90,5.00,4.83,4.92,4635
20-Nov-14,4.74,4.89,4.74,4.87,2800
19-Nov-14,4.75,4.75,4.65,4.65,7298
18-Nov-14,4.57,5.00,4.57,4.65,33412
17-Nov-14,5.56,5.58,4.51,4.64,78932
14-Nov-14,5.58,5.83,5.56,5.75,16301
13-Nov-14,5.70,6.10,5.55,5.58,22985
12-Nov-14,5.10,6.85,5.10,5.71,56412
11-Nov-14,5.20,5.20,4.95,5.01,39086
10-Nov-14,5.31,5.31,5.12,5.12,10393
7-Nov-14,5.74,5.74,5.18,5.30,37914
6-Nov-14,5.96,5.96,5.62,5.68,11916
5-Nov-14,6.04,6.06,5.80,5.90,25063
4-Nov-14,6.16,6.32,5.92,6.15,44174
3-Nov-14,6.40,6.49,6.16,6.16,47409
31-Oct-14,6.63,6.63,6.15,6.40,17170
30-Oct-14,6.58,6.60,6.50,6.50,12955
29-Oct-14,6.67,6.70,6.60,6.60,7545
28-Oct-14,6.68,6.75,6.62,6.70,1275
27-Oct-14,6.50,6.62,6.50,6.55,3400
24-Oct-14,6.60,6.75,6.50,6.65,14217
23-Oct-14,6.90,6.90,6.75,6.75,9547
22-Oct-14,6.84,7.00,6.44,6.75,33181
21-Oct-14,6.64,6.85,6.60,6.80,25910
20-Oct-14,6.77,6.77,6.60,6.64,10836
17-Oct-14,6.79,6.82,6.72,6.72,1500
16-Oct-14,6.48,6.85,6.46,6.73,15000
15-Oct-14,6.29,6.69,6.15,6.69,18671
14-Oct-14,6.24,6.52,6.24,6.52,3920
13-Oct-14,6.25,6.43,6.13,6.25,65172
10-Oct-14,6.40,6.45,6.13,6.26,30525
9-Oct-14,6.77,6.77,6.47,6.50,37551
8-Oct-14,7.17,7.29,6.36,7.06,44455
7-Oct-14,7.87,7.87,7.15,7.37,34532
6-Oct-14,8.81,8.81,7.03,7.78,47156
3-Oct-14,10.09,10.09,9.00,9.15,2353
