Date,Open,High,Low,Close,Volume
31-Dec-14,9.80,9.80,9.80,9.80,223
29-Dec-14,9.81,9.81,9.81,9.81,151
23-Dec-14,9.82,9.82,9.80,9.81,848
22-Dec-14,9.77,9.86,9.77,9.80,574
19-Dec-14,9.70,9.70,9.70,9.70,601
18-Dec-14,9.92,9.92,9.75,9.90,1263
17-Dec-14,9.83,9.97,9.81,9.86,12252
16-Dec-14,9.78,9.82,9.78,9.81,3410
15-Dec-14,9.75,9.79,9.75,9.77,3848
12-Dec-14,9.75,9.75,9.75,9.75,1225
11-Dec-14,9.70,9.78,9.70,9.78,754
10-Dec-14,9.72,9.78,9.72,9.78,35313
9-Dec-14,9.77,9.77,9.67,9.72,16349
8-Dec-14,9.70,9.77,9.70,9.70,14080
5-Dec-14,9.63,9.68,9.63,9.68,10335
4-Dec-14,9.64,9.64,9.63,9.63,1561
3-Dec-14,9.64,9.64,9.63,9.63,3001
2-Dec-14,9.64,9.66,9.64,9.64,25084
1-Dec-14,9.65,9.66,9.65,9.66,5559
28-Nov-14,9.65,9.66,9.65,9.66,2331
26-Nov-14,9.67,9.68,9.65,9.65,5464
25-Nov-14,9.67,9.69,9.64,9.68,25542
24-Nov-14,9.67,9.68,9.67,9.68,22286
21-Nov-14,9.66,9.68,9.66,9.68,12287
20-Nov-14,9.65,9.67,9.64,9.65,13532
19-Nov-14,9.67,9.67,9.65,9.65,10500
18-Nov-14,9.63,9.70,9.63,9.68,31337
17-Nov-14,9.65,9.65,9.63,9.63,17223
14-Nov-14,9.63,9.65,9.63,9.65,21382
13-Nov-14,9.63,9.63,9.60,9.63,88177
12-Nov-14,9.63,9.63,9.60,9.62,18434
11-Nov-14,9.64,9.64,9.62,9.63,18294
10-Nov-14,9.62,9.66,9.60,9.61,34443
7-Nov-14,9.60,9.63,9.60,9.60,8335
6-Nov-14,9.68,9.69,9.60,9.60,1725
5-Nov-14,9.55,9.70,9.55,9.65,26251
4-Nov-14,9.50,9.62,9.50,9.50,9022
3-Nov-14,9.49,9.50,9.49,9.50,7105
31-Oct-14,9.37,9.50,9.37,9.49,30603
30-Oct-14,9.48,9.48,9.48,9.48,100
29-Oct-14,9.57,9.57,9.35,9.45,41925
28-Oct-14,9.52,9.80,9.52,9.56,34673
27-Oct-14,9.67,9.67,9.52,9.52,43466
24-Oct-14,9.57,9.64,9.52,9.52,23650
23-Oct-14,9.70,9.75,9.50,9.54,26954
22-Oct-14,9.79,9.81,9.70,9.71,25772
21-Oct-14,9.64,9.85,9.64,9.81,6310
20-Oct-14,9.89,9.89,9.62,9.68,69057
17-Oct-14,10.00,10.06,9.70,9.75,344913
