Date,Open,High,Low,Close,Volume
31-Dec-14,26.95,27.61,26.65,27.30,234071
30-Dec-14,26.69,27.02,26.50,26.95,91281
29-Dec-14,26.21,27.00,26.19,26.83,122309
26-Dec-14,25.65,26.50,25.01,26.26,94908
24-Dec-14,25.75,26.56,25.50,25.66,72353
23-Dec-14,25.60,25.90,24.80,25.83,192022
22-Dec-14,24.75,25.64,24.60,25.57,146047
19-Dec-14,25.84,25.84,24.75,24.81,1195085
18-Dec-14,24.71,25.99,24.15,25.58,354565
17-Dec-14,23.00,24.75,21.89,24.18,547141
16-Dec-14,21.50,22.21,21.45,21.63,251428
15-Dec-14,22.70,23.69,21.09,21.59,204752
12-Dec-14,23.48,23.84,22.62,22.69,143486
11-Dec-14,23.43,23.84,23.38,23.57,58303
10-Dec-14,23.47,23.84,23.25,23.66,121948
9-Dec-14,23.18,23.80,23.00,23.59,96582
8-Dec-14,23.50,23.70,23.00,23.23,150999
5-Dec-14,23.75,23.80,23.58,23.65,106158
4-Dec-14,23.42,23.80,23.27,23.71,170298
3-Dec-14,23.20,23.63,22.75,23.26,88562
2-Dec-14,23.08,23.20,22.62,23.13,425182
1-Dec-14,23.31,24.25,22.37,23.00,286250
28-Nov-14,22.77,23.24,22.34,22.92,99617
26-Nov-14,22.76,22.98,22.06,22.32,304728
25-Nov-14,21.84,22.17,21.25,21.49,89155
24-Nov-14,22.03,22.11,21.78,21.89,33638
21-Nov-14,21.41,22.50,21.11,21.94,204114
20-Nov-14,21.24,21.74,21.10,21.51,93385
19-Nov-14,21.90,22.01,20.30,21.33,133406
18-Nov-14,22.60,22.93,21.96,22.01,81938
17-Nov-14,22.75,22.95,22.41,22.62,85125
14-Nov-14,22.25,22.76,22.00,22.58,77317
13-Nov-14,21.73,22.85,21.67,22.13,259839
12-Nov-14,21.77,22.15,21.65,21.73,160438
11-Nov-14,21.77,22.79,21.77,21.88,56621
10-Nov-14,21.35,23.33,21.19,22.06,322726
7-Nov-14,21.00,21.30,20.52,21.30,208827
6-Nov-14,20.75,21.30,20.50,20.61,120430
5-Nov-14,21.20,21.20,20.59,20.88,168084
4-Nov-14,19.98,22.39,19.92,21.09,376374
3-Nov-14,19.52,20.49,19.20,20.07,108884
31-Oct-14,19.58,19.87,19.05,19.66,140727
30-Oct-14,19.00,19.70,18.95,19.38,190899
29-Oct-14,19.20,19.75,19.00,19.10,271270
28-Oct-14,20.00,20.00,19.10,19.25,229697
27-Oct-14,18.82,19.86,18.82,19.53,127285
24-Oct-14,18.85,19.25,18.80,18.81,191755
23-Oct-14,18.90,19.41,18.84,18.93,92079
22-Oct-14,19.34,19.50,18.80,18.89,128475
21-Oct-14,18.97,19.37,18.41,18.91,121334
20-Oct-14,17.99,18.50,17.81,18.39,85556
17-Oct-14,17.57,18.74,17.40,17.81,217104
16-Oct-14,17.35,17.69,17.00,17.48,108542
15-Oct-14,17.00,17.36,16.58,17.20,434939
14-Oct-14,18.42,18.42,17.05,17.29,168022
13-Oct-14,17.08,17.99,17.07,17.50,466906
10-Oct-14,17.00,18.43,15.89,17.28,7045090
