Date,Open,High,Low,Close,Volume
31-Dec-14,72.76,75.94,72.76,75.69,183330
30-Dec-14,73.40,73.71,71.64,73.00,40696
29-Dec-14,72.56,73.90,71.75,73.31,23306
26-Dec-14,73.24,73.38,72.10,72.20,10201
24-Dec-14,73.01,73.21,72.19,72.63,16568
23-Dec-14,72.60,73.00,72.04,72.54,25424
22-Dec-14,71.89,72.79,71.51,72.68,32084
19-Dec-14,74.41,74.80,71.89,72.16,50377
18-Dec-14,72.75,74.77,72.20,74.61,23098
17-Dec-14,71.44,72.14,69.70,72.14,47601
16-Dec-14,70.33,73.09,70.33,71.76,34177
15-Dec-14,71.50,72.74,70.66,70.86,35950
12-Dec-14,70.85,72.00,70.85,71.82,25592
11-Dec-14,73.13,74.00,70.88,71.61,59864
10-Dec-14,73.40,73.96,72.75,73.03,39552
9-Dec-14,71.29,73.32,70.80,73.19,63015
8-Dec-14,71.06,72.54,71.00,72.09,37411
5-Dec-14,72.84,73.60,71.25,71.59,45113
4-Dec-14,74.08,74.51,72.45,72.86,66092
3-Dec-14,70.33,73.88,70.00,73.27,78301
2-Dec-14,70.00,70.00,69.05,69.95,60353
1-Dec-14,70.50,70.50,68.85,69.69,48889
28-Nov-14,69.66,70.46,68.70,68.84,17356
26-Nov-14,69.68,69.92,69.37,69.77,28745
25-Nov-14,69.40,69.91,69.03,69.40,42117
24-Nov-14,68.90,69.54,68.32,69.29,56935
21-Nov-14,69.50,69.70,68.00,68.31,52775
20-Nov-14,68.33,69.10,68.03,68.90,31989
19-Nov-14,68.00,69.00,68.00,68.24,18343
18-Nov-14,68.75,69.64,66.85,68.44,33533
17-Nov-14,69.00,69.55,67.88,68.35,49944
14-Nov-14,67.23,69.00,67.00,68.26,72629
13-Nov-14,69.69,70.10,67.11,67.25,48100
12-Nov-14,67.80,69.42,67.80,69.23,30156
11-Nov-14,68.92,70.03,67.45,68.46,75258
10-Nov-14,71.83,72.66,69.31,69.90,68862
7-Nov-14,71.95,72.66,70.84,71.36,74314
6-Nov-14,65.00,73.00,64.98,71.95,110343
5-Nov-14,61.23,62.00,60.18,61.98,34607
4-Nov-14,60.61,61.20,59.95,60.48,40171
3-Nov-14,61.08,61.77,59.82,61.08,20273
31-Oct-14,61.65,61.65,60.65,61.07,48272
30-Oct-14,58.51,61.00,58.51,60.68,25747
29-Oct-14,59.94,60.25,58.91,60.25,24571
28-Oct-14,58.92,60.25,58.34,60.25,23030
27-Oct-14,58.52,59.38,58.43,58.92,27377
24-Oct-14,58.44,58.84,58.23,58.84,50519
23-Oct-14,57.90,58.95,57.90,58.29,29273
22-Oct-14,57.93,58.45,57.38,57.72,15260
21-Oct-14,57.35,58.32,54.05,58.15,13329
20-Oct-14,57.36,58.01,56.92,57.25,15361
17-Oct-14,59.00,59.00,57.73,58.01,9621
16-Oct-14,57.71,59.96,57.61,58.22,63141
15-Oct-14,57.00,58.78,57.00,58.47,25147
14-Oct-14,57.46,59.03,56.71,58.01,35489
13-Oct-14,57.17,57.31,55.73,57.08,40385
10-Oct-14,57.67,58.00,57.20,57.32,32991
9-Oct-14,58.75,58.87,57.71,58.00,14819
8-Oct-14,57.57,59.31,57.46,58.75,41914
7-Oct-14,57.39,58.16,57.18,57.80,24606
6-Oct-14,59.00,59.41,57.79,58.20,30975
3-Oct-14,58.00,59.00,58.00,58.83,16882
2-Oct-14,57.13,57.85,55.82,57.61,22648
1-Oct-14,55.48,56.24,55.34,56.05,36458
30-Sep-14,56.61,56.72,54.73,56.05,109001
