Date,Open,High,Low,Close,Volume
31-Dec-14,7.03,7.06,6.90,7.04,3616
30-Dec-14,6.92,7.05,6.88,7.04,8267
29-Dec-14,7.10,7.10,7.09,7.09,1201
26-Dec-14,7.10,7.11,6.99,7.10,4491
24-Dec-14,6.96,7.05,6.96,7.05,1406
23-Dec-14,6.98,7.11,6.95,7.11,1010
22-Dec-14,7.15,7.15,6.98,6.98,4036
19-Dec-14,7.00,7.10,7.00,7.02,15437
18-Dec-14,7.09,7.09,6.94,7.02,6294
17-Dec-14,6.91,7.05,6.91,7.02,1910
16-Dec-14,7.05,7.19,6.76,7.06,58331
15-Dec-14,7.10,7.17,6.90,7.05,31188
12-Dec-14,7.07,7.12,6.93,7.09,8105
11-Dec-14,6.95,7.09,6.85,7.07,54731
10-Dec-14,6.90,7.10,6.85,7.10,28064
9-Dec-14,7.00,7.05,6.87,7.02,4171
8-Dec-14,6.97,7.10,6.92,6.99,2513
5-Dec-14,6.99,7.07,6.95,7.00,3950
4-Dec-14,7.00,7.08,6.90,6.97,15058
3-Dec-14,6.85,6.99,6.85,6.99,12460
2-Dec-14,6.76,6.89,6.76,6.87,1799
1-Dec-14,6.73,6.88,6.72,6.84,18690
28-Nov-14,6.82,6.90,6.73,6.82,15679
26-Nov-14,6.95,6.95,6.69,6.82,4382
25-Nov-14,6.81,6.93,6.74,6.92,6498
24-Nov-14,6.74,6.96,6.74,6.87,5371
21-Nov-14,6.98,7.00,6.70,6.79,16349
20-Nov-14,6.67,7.00,6.67,6.96,24726
19-Nov-14,6.82,6.89,6.67,6.88,11481
18-Nov-14,6.99,7.00,6.78,6.86,14305
17-Nov-14,6.81,6.99,6.81,6.98,625
14-Nov-14,7.00,7.04,6.87,7.04,20502
13-Nov-14,6.92,6.99,6.71,6.96,8637
12-Nov-14,6.75,6.84,6.50,6.84,10496
11-Nov-14,6.73,6.85,6.73,6.83,463
10-Nov-14,6.77,6.92,6.73,6.73,4128
7-Nov-14,6.62,6.84,6.62,6.77,6765
6-Nov-14,6.61,6.86,6.61,6.68,11256
5-Nov-14,6.76,6.83,6.59,6.79,46425
4-Nov-14,6.75,6.78,6.60,6.71,14909
3-Nov-14,7.00,7.00,6.60,6.80,46845
31-Oct-14,7.09,7.09,6.86,7.04,45475
30-Oct-14,6.80,7.00,6.80,7.00,10952
29-Oct-14,6.65,6.74,6.64,6.73,16317
28-Oct-14,6.63,6.65,6.55,6.58,6096
27-Oct-14,5.91,6.67,5.48,6.64,7030
24-Oct-14,6.78,6.78,6.58,6.59,5685
23-Oct-14,6.70,6.77,6.60,6.67,6446
22-Oct-14,6.74,6.90,6.62,6.66,13424
21-Oct-14,7.01,7.02,6.71,6.72,66097
20-Oct-14,6.92,7.01,6.82,6.98,6161
17-Oct-14,7.10,7.10,6.83,6.97,5696
16-Oct-14,6.94,7.09,6.94,7.09,2860
15-Oct-14,6.94,7.00,6.79,6.83,7208
14-Oct-14,7.10,7.11,6.88,6.88,2708
13-Oct-14,7.10,7.10,7.05,7.05,806
10-Oct-14,7.16,7.16,6.95,7.14,15551
9-Oct-14,7.15,7.23,7.11,7.13,5364
8-Oct-14,7.24,7.25,6.98,7.21,17568
7-Oct-14,7.19,7.25,7.10,7.25,38994
6-Oct-14,7.16,7.25,7.15,7.23,19402
3-Oct-14,7.10,7.19,7.07,7.16,36520
2-Oct-14,7.00,7.10,6.95,7.10,88560
1-Oct-14,6.94,7.05,6.90,7.00,31738
30-Sep-14,7.05,7.05,6.77,6.97,9561
29-Sep-14,6.96,7.03,6.95,7.03,13019
26-Sep-14,7.05,7.10,7.00,7.00,8735
25-Sep-14,6.95,7.07,6.88,7.04,27015
24-Sep-14,6.94,7.06,6.85,6.85,1251
23-Sep-14,7.06,7.08,7.06,7.06,494
22-Sep-14,7.00,7.08,6.88,7.08,72426
19-Sep-14,6.64,7.08,6.64,7.08,20177
18-Sep-14,6.78,6.89,6.75,6.77,2939
17-Sep-14,6.67,6.79,6.60,6.79,22637
16-Sep-14,6.62,6.90,6.62,6.74,3529
15-Sep-14,6.94,7.00,6.84,6.84,3298
12-Sep-14,6.96,7.08,6.95,6.99,15411
11-Sep-14,6.93,7.09,6.89,7.08,8324
10-Sep-14,7.10,7.12,6.96,7.09,71532
9-Sep-14,7.01,7.14,7.01,7.02,6358
8-Sep-14,6.94,7.15,6.94,7.14,9263
5-Sep-14,7.09,7.12,7.09,7.10,852
4-Sep-14,7.02,7.14,7.02,7.05,3034
3-Sep-14,7.15,7.15,7.04,7.05,10910
2-Sep-14,7.04,7.20,6.99,7.11,45099
29-Aug-14,6.99,7.04,6.99,7.00,31451
28-Aug-14,7.03,7.04,6.98,7.03,5973
27-Aug-14,6.95,7.03,6.90,6.98,5508
26-Aug-14,6.91,6.95,6.83,6.91,5594
25-Aug-14,6.87,6.99,6.87,6.95,13050
22-Aug-14,6.91,6.96,6.91,6.95,14254
21-Aug-14,6.85,6.95,6.85,6.88,12506
20-Aug-14,6.85,7.00,6.85,6.95,7707
19-Aug-14,6.97,7.04,6.97,6.97,6978
18-Aug-14,7.05,7.05,6.95,7.01,1804
15-Aug-14,7.05,7.05,6.98,7.05,2596
14-Aug-14,6.99,7.05,6.99,7.03,6036
13-Aug-14,6.85,7.07,6.85,6.96,35698
12-Aug-14,6.82,7.01,6.82,7.00,8602
11-Aug-14,6.88,7.09,6.88,7.07,62076
8-Aug-14,7.02,7.09,7.02,7.08,9444
7-Aug-14,6.95,7.02,6.91,7.02,895
6-Aug-14,6.95,7.02,6.95,7.01,732
5-Aug-14,6.97,7.03,6.83,6.99,18933
4-Aug-14,6.95,7.00,6.87,6.94,26364
1-Aug-14,6.96,7.10,6.96,7.03,19597
31-Jul-14,6.96,7.05,6.95,7.04,44521
30-Jul-14,6.70,7.16,6.70,7.00,80978
29-Jul-14,6.67,6.75,6.64,6.68,8480
28-Jul-14,6.59,6.87,6.59,6.70,6982
25-Jul-14,6.65,6.65,6.61,6.65,3728
24-Jul-14,6.68,6.74,6.68,6.72,6510
23-Jul-14,6.84,6.88,6.70,6.74,10875
22-Jul-14,6.70,6.78,6.70,6.78,519
21-Jul-14,6.80,6.86,6.73,6.76,29976
18-Jul-14,6.77,6.81,6.77,6.79,1261
16-Jul-14,6.78,6.87,6.78,6.87,35634
15-Jul-14,6.80,6.82,6.79,6.82,704
14-Jul-14,6.76,6.85,6.75,6.83,23714
10-Jul-14,6.69,6.75,6.69,6.75,3707
9-Jul-14,6.70,6.78,6.68,6.73,58243
8-Jul-14,6.77,6.86,6.75,6.75,2910
7-Jul-14,6.69,6.85,6.69,6.78,7115
3-Jul-14,6.94,6.94,6.78,6.78,1510
2-Jul-14,6.96,6.96,6.68,6.87,6202
1-Jul-14,6.63,6.87,6.63,6.83,6841
30-Jun-14,6.71,6.75,6.61,6.66,2609
27-Jun-14,6.70,6.75,6.62,6.75,7991
26-Jun-14,6.62,6.62,6.60,6.60,706
25-Jun-14,6.63,6.66,6.61,6.66,824
24-Jun-14,6.65,6.66,6.58,6.60,6389
23-Jun-14,6.73,6.73,6.60,6.68,4473
20-Jun-14,6.55,6.79,6.54,6.79,34456
19-Jun-14,6.56,6.58,6.55,6.56,6034
18-Jun-14,6.73,6.75,6.65,6.69,7371
17-Jun-14,6.54,6.70,6.54,6.57,6807
16-Jun-14,6.63,6.74,6.50,6.66,40735
13-Jun-14,6.70,6.70,6.57,6.57,18878
12-Jun-14,6.62,6.73,6.60,6.65,15040
