Date,Open,High,Low,Close,Volume
31-Dec-14,56.80,57.87,55.46,55.56,602085
30-Dec-14,57.63,57.95,56.48,56.79,537943
29-Dec-14,57.68,58.07,57.23,57.95,307695
26-Dec-14,56.86,57.90,56.67,57.51,257782
24-Dec-14,55.92,56.98,55.41,56.48,179400
23-Dec-14,56.99,57.30,55.38,55.91,463388
22-Dec-14,55.42,56.79,55.22,56.56,691054
19-Dec-14,55.02,55.98,54.46,55.56,982102
18-Dec-14,54.56,55.84,53.48,55.13,937330
17-Dec-14,53.15,53.77,52.56,53.67,1148732
16-Dec-14,53.23,53.98,53.03,53.15,973785
15-Dec-14,54.54,54.64,52.50,53.10,944223
12-Dec-14,54.58,55.55,54.10,54.13,557487
11-Dec-14,55.27,55.86,54.76,55.00,770547
10-Dec-14,57.61,58.00,55.08,55.16,792741
9-Dec-14,55.97,57.84,55.40,57.57,836290
8-Dec-14,57.12,58.50,56.31,56.37,500541
5-Dec-14,58.80,59.21,56.82,57.18,651844
4-Dec-14,59.79,60.20,58.62,58.82,575313
3-Dec-14,58.66,60.01,58.50,59.93,465595
2-Dec-14,57.96,58.87,57.95,58.70,322217
1-Dec-14,58.31,58.88,57.30,57.65,575193
28-Nov-14,58.31,58.99,58.08,58.51,305811
26-Nov-14,57.49,58.16,57.00,58.04,346346
25-Nov-14,57.86,58.11,56.31,57.20,667409
24-Nov-14,58.20,58.20,57.07,57.76,449970
21-Nov-14,57.39,57.92,56.82,57.30,979149
20-Nov-14,56.25,56.94,55.66,56.72,341840
19-Nov-14,55.65,56.79,55.17,56.54,572882
18-Nov-14,54.96,56.20,54.76,55.89,373025
17-Nov-14,55.26,55.73,54.84,54.85,311244
14-Nov-14,56.50,56.80,55.18,55.35,339226
13-Nov-14,56.36,57.19,55.73,56.36,589324
12-Nov-14,54.79,56.42,54.61,56.20,592971
11-Nov-14,54.27,55.19,54.10,54.86,413350
10-Nov-14,54.20,54.77,54.01,54.50,519752
7-Nov-14,53.26,53.98,52.19,53.97,921348
6-Nov-14,53.09,53.80,52.66,53.50,774801
5-Nov-14,54.99,55.14,52.82,52.86,943782
4-Nov-14,54.32,55.24,54.30,54.84,735019
3-Nov-14,55.50,56.31,53.85,54.35,2550545
31-Oct-14,54.59,54.64,53.08,54.31,2207992
30-Oct-14,54.00,55.77,52.86,53.15,5308093
29-Oct-14,63.96,64.34,62.48,63.56,782823
28-Oct-14,64.00,64.72,63.51,64.01,569581
27-Oct-14,63.64,64.00,62.87,63.95,376817
24-Oct-14,63.73,64.02,63.15,63.74,378855
23-Oct-14,63.40,63.90,62.93,63.50,383489
22-Oct-14,63.93,64.15,62.70,62.76,493066
21-Oct-14,61.20,63.71,60.85,63.63,689562
20-Oct-14,59.17,60.75,59.01,60.74,405419
17-Oct-14,60.21,60.28,58.64,59.24,530837
16-Oct-14,57.69,59.85,57.00,59.39,461760
15-Oct-14,57.23,58.98,56.57,58.57,829204
14-Oct-14,58.58,58.92,57.40,58.02,553871
13-Oct-14,58.16,59.58,57.63,58.16,606956
10-Oct-14,58.35,60.06,58.05,58.19,820231
9-Oct-14,61.00,61.14,59.44,59.47,661098
8-Oct-14,60.17,61.08,59.23,61.00,875065
7-Oct-14,61.20,61.20,59.83,60.26,814666
6-Oct-14,62.87,63.00,61.24,61.64,522928
3-Oct-14,62.90,63.01,62.18,62.51,849204
2-Oct-14,62.50,63.00,61.11,62.12,932102
1-Oct-14,63.24,63.46,61.85,62.61,786737
30-Sep-14,64.17,64.30,63.09,63.09,561394
29-Sep-14,62.27,64.12,62.26,64.07,486150
26-Sep-14,63.16,63.33,62.30,62.95,576068
25-Sep-14,63.86,64.46,62.42,63.09,570080
24-Sep-14,62.26,64.37,62.10,64.26,834110
23-Sep-14,61.79,62.59,61.05,62.13,765353
22-Sep-14,60.85,61.76,60.54,61.62,701716
19-Sep-14,62.30,62.51,61.14,61.38,1125004
18-Sep-14,61.82,62.49,61.56,61.96,345660
17-Sep-14,61.52,62.04,61.25,61.68,418260
16-Sep-14,60.73,61.50,60.41,61.40,562141
15-Sep-14,61.17,61.17,60.03,60.67,515453
12-Sep-14,61.43,61.43,59.98,60.87,608087
11-Sep-14,59.25,61.26,59.20,61.23,759703
10-Sep-14,58.21,61.01,57.89,60.10,1193024
9-Sep-14,57.94,58.55,57.01,57.93,425456
8-Sep-14,57.75,58.34,57.46,58.11,433691
5-Sep-14,57.88,58.04,57.35,57.77,380721
4-Sep-14,58.05,58.68,57.67,57.84,360673
3-Sep-14,57.34,57.95,57.09,57.91,599627
2-Sep-14,56.80,57.17,56.16,56.99,543754
29-Aug-14,57.15,57.15,55.92,56.44,661473
28-Aug-14,57.12,57.52,56.81,56.95,255890
27-Aug-14,57.34,57.98,56.97,57.29,366659
26-Aug-14,56.73,57.71,56.42,57.32,394777
25-Aug-14,57.54,57.78,56.38,56.67,446868
22-Aug-14,56.87,57.68,56.51,57.27,530087
21-Aug-14,57.67,57.72,56.08,56.68,606447
20-Aug-14,58.21,58.23,57.03,57.48,353303
19-Aug-14,58.04,58.43,57.82,58.27,314582
18-Aug-14,58.00,58.10,57.30,58.01,431262
15-Aug-14,58.27,58.47,56.64,57.50,413148
14-Aug-14,56.81,57.81,56.81,57.67,310785
13-Aug-14,56.52,56.75,56.04,56.59,428306
12-Aug-14,56.44,56.88,55.83,56.40,401070
11-Aug-14,56.70,57.59,56.47,56.47,589955
8-Aug-14,56.00,57.03,55.50,56.20,776376
7-Aug-14,56.90,56.90,53.53,55.79,779756
6-Aug-14,54.15,55.39,53.78,54.33,668733
5-Aug-14,53.55,54.78,53.38,54.19,422424
4-Aug-14,53.74,54.01,52.91,53.70,467316
1-Aug-14,53.60,55.06,52.94,53.60,365406
31-Jul-14,54.38,54.66,53.53,53.56,491270
30-Jul-14,55.32,55.75,54.22,54.78,583014
29-Jul-14,54.13,55.13,53.90,54.89,365084
28-Jul-14,54.26,54.59,53.69,54.07,227578
25-Jul-14,53.37,54.86,53.36,54.27,394623
24-Jul-14,53.99,54.40,53.53,53.82,351653
23-Jul-14,54.14,54.66,53.80,54.36,340692
22-Jul-14,54.23,54.66,53.70,54.08,290744
21-Jul-14,53.73,54.35,52.91,54.07,360352
18-Jul-14,53.06,54.29,52.88,53.99,556996
17-Jul-14,53.51,54.10,53.01,53.06,386775
16-Jul-14,54.03,54.22,53.05,53.64,365576
15-Jul-14,54.44,54.44,53.52,53.86,498604
14-Jul-14,54.39,54.75,53.98,54.17,402573
11-Jul-14,54.00,54.16,53.15,53.75,378389
10-Jul-14,52.66,54.34,52.08,54.09,528328
9-Jul-14,53.17,53.86,52.73,53.53,504544
8-Jul-14,53.70,53.85,52.85,52.97,619578
7-Jul-14,53.20,54.22,52.96,53.87,539812
3-Jul-14,53.38,54.03,53.24,53.70,258166
2-Jul-14,53.27,53.77,52.97,53.61,575510
1-Jul-14,53.17,53.75,53.08,53.17,808855
30-Jun-14,52.91,53.25,52.29,52.84,748294
27-Jun-14,52.69,53.21,51.79,52.71,885016
26-Jun-14,55.09,55.09,52.25,53.12,1425465
25-Jun-14,54.08,55.03,51.73,51.79,1161148
24-Jun-14,55.06,55.29,54.03,54.36,821515
23-Jun-14,55.23,55.93,54.59,54.66,621062
20-Jun-14,55.69,55.97,54.84,55.47,766994
19-Jun-14,54.59,55.59,54.53,55.42,646187
18-Jun-14,53.89,54.58,53.45,54.54,646721
17-Jun-14,53.32,54.06,53.13,53.67,440963
16-Jun-14,52.80,53.71,52.38,53.25,720926
13-Jun-14,53.22,53.40,52.27,52.52,370347
12-Jun-14,53.44,53.62,52.71,52.98,259996
11-Jun-14,53.16,53.83,52.97,53.55,590865
10-Jun-14,53.87,54.52,53.64,54.24,429544
9-Jun-14,53.87,55.11,53.82,54.23,434773
6-Jun-14,54.00,54.22,53.64,54.08,469283
5-Jun-14,52.70,54.30,52.62,53.64,527738
4-Jun-14,51.94,52.84,51.77,52.72,510657
3-Jun-14,50.44,52.25,50.44,51.98,609332
2-Jun-14,50.37,50.47,49.87,50.27,351968
30-May-14,50.20,51.02,49.70,50.45,451633
29-May-14,50.77,50.95,50.30,50.54,450250
28-May-14,51.23,51.50,50.57,50.59,677357
27-May-14,49.13,51.35,48.75,51.27,744469
23-May-14,48.51,48.98,48.12,48.75,321989
22-May-14,48.21,49.22,48.04,48.40,356896
21-May-14,47.99,48.45,47.48,48.00,484894
20-May-14,47.70,47.99,46.94,47.65,828230
19-May-14,47.09,49.42,46.92,48.04,890452
16-May-14,46.30,47.04,46.20,46.91,705826
15-May-14,45.67,46.44,44.94,46.24,580381
14-May-14,46.88,47.20,45.96,46.01,502907
13-May-14,47.04,47.46,46.52,46.86,653638
12-May-14,45.99,47.50,45.99,46.95,527973
9-May-14,44.51,46.33,44.39,45.91,532514
