Date,Open,High,Low,Close,Volume
31-Dec-14,49.11,52.30,49.11,51.84,19076
30-Dec-14,49.55,50.12,49.42,49.51,10469
29-Dec-14,52.26,52.26,49.25,49.27,31146
26-Dec-14,49.92,54.74,49.88,51.87,35563
24-Dec-14,49.55,49.91,49.55,49.90,12015
23-Dec-14,49.30,49.37,49.06,49.06,30463
22-Dec-14,48.99,49.44,48.76,49.27,26866
19-Dec-14,49.52,50.08,48.30,48.62,68160
18-Dec-14,50.00,50.39,49.56,49.89,36839
17-Dec-14,49.57,49.99,48.50,49.99,18268
16-Dec-14,49.27,50.00,49.01,49.74,19558
15-Dec-14,49.86,50.05,49.21,49.70,15462
12-Dec-14,49.40,50.29,49.25,49.76,17840
11-Dec-14,49.28,50.58,49.02,49.99,23228
10-Dec-14,49.46,49.71,48.63,48.80,20945
9-Dec-14,48.86,50.00,48.56,49.79,25220
8-Dec-14,48.58,49.36,48.29,49.06,21182
5-Dec-14,48.60,49.37,48.23,48.58,51773
4-Dec-14,48.70,48.90,48.07,48.30,54908
3-Dec-14,48.03,48.98,48.03,48.62,35916
2-Dec-14,44.96,48.50,44.77,48.17,77574
1-Dec-14,45.44,45.86,43.85,44.58,25271
28-Nov-14,46.17,46.19,45.03,45.44,9901
26-Nov-14,45.80,46.18,44.62,45.54,23722
25-Nov-14,45.64,46.25,44.88,45.27,14044
24-Nov-14,45.67,46.40,44.45,45.50,29792
21-Nov-14,44.84,46.17,42.59,45.22,57642
20-Nov-14,42.85,44.92,41.38,44.39,27433
19-Nov-14,43.06,43.95,42.45,43.01,39136
18-Nov-14,41.63,43.27,41.63,43.00,17836
17-Nov-14,42.70,43.19,41.91,41.91,13190
14-Nov-14,43.18,43.23,41.39,42.65,14514
13-Nov-14,43.15,43.90,42.76,43.41,16972
12-Nov-14,42.90,43.50,42.50,43.38,16127
11-Nov-14,43.95,43.99,42.86,43.06,22667
10-Nov-14,42.92,43.80,42.22,43.65,29722
7-Nov-14,43.33,43.60,42.18,42.85,20475
6-Nov-14,43.23,43.75,42.55,43.00,19191
5-Nov-14,43.69,43.94,42.30,42.99,21195
4-Nov-14,42.59,43.31,42.16,43.08,13729
3-Nov-14,42.95,44.99,42.51,42.74,19605
31-Oct-14,44.68,44.72,42.76,42.98,37969
30-Oct-14,44.36,44.69,40.00,43.80,27514
29-Oct-14,40.78,45.31,38.24,44.83,71299
28-Oct-14,39.92,41.23,39.76,40.53,33382
27-Oct-14,39.86,40.15,38.90,39.75,16753
24-Oct-14,40.21,40.50,38.53,40.20,19371
23-Oct-14,38.63,40.41,37.92,39.92,22062
22-Oct-14,38.00,38.88,37.68,38.01,30567
21-Oct-14,37.82,39.15,37.44,38.22,20153
20-Oct-14,37.58,38.32,37.11,37.66,20338
17-Oct-14,38.83,38.97,37.32,37.64,16880
16-Oct-14,34.63,38.87,34.63,38.30,41449
15-Oct-14,33.72,35.51,33.71,35.36,22666
14-Oct-14,34.75,35.56,34.26,34.64,21593
13-Oct-14,35.12,35.15,34.01,34.74,20617
10-Oct-14,35.01,39.28,34.47,35.44,32774
9-Oct-14,37.70,37.70,35.00,35.10,21792
8-Oct-14,36.70,37.40,35.35,36.06,34152
7-Oct-14,36.71,37.46,36.02,36.46,16475
6-Oct-14,37.94,38.98,36.72,36.75,20528
3-Oct-14,37.20,38.12,37.14,37.47,22124
2-Oct-14,36.23,37.12,36.10,36.85,36124
1-Oct-14,36.00,37.50,35.70,36.25,35703
30-Sep-14,34.67,36.38,33.91,36.25,54289
29-Sep-14,34.63,35.53,32.75,34.50,20905
26-Sep-14,33.93,35.81,33.17,35.24,16757
25-Sep-14,33.80,34.28,31.82,33.92,21904
24-Sep-14,33.76,35.49,33.76,34.61,15325
23-Sep-14,33.71,34.10,33.29,33.81,31830
22-Sep-14,34.39,34.81,33.71,33.71,21702
19-Sep-14,35.56,35.56,34.40,34.68,51428
18-Sep-14,34.89,35.59,34.40,35.48,22314
17-Sep-14,35.93,36.44,34.38,34.99,60107
16-Sep-14,35.48,36.21,35.48,35.82,15515
15-Sep-14,37.04,37.04,35.22,35.71,24892
12-Sep-14,37.52,37.87,36.69,36.70,9439
11-Sep-14,37.89,37.95,37.21,37.63,12646
10-Sep-14,37.85,38.30,37.06,37.96,17899
9-Sep-14,37.84,38.33,37.09,37.16,23979
8-Sep-14,37.44,38.30,37.02,38.00,24829
5-Sep-14,36.38,38.14,36.33,37.77,16397
4-Sep-14,36.72,36.81,36.15,36.48,20806
3-Sep-14,37.20,37.56,36.55,36.75,13244
2-Sep-14,36.37,38.32,36.33,37.25,36189
29-Aug-14,37.34,37.34,35.16,36.72,60684
28-Aug-14,37.64,37.66,37.04,37.04,11942
27-Aug-14,38.32,38.32,37.14,37.75,11232
26-Aug-14,38.02,38.31,37.48,38.09,22509
25-Aug-14,37.40,38.82,37.14,38.05,24930
22-Aug-14,37.88,37.95,37.22,37.85,13139
21-Aug-14,38.12,39.21,37.39,37.89,25366
20-Aug-14,38.51,38.91,37.42,37.93,19069
19-Aug-14,38.20,39.11,37.96,38.40,34186
18-Aug-14,37.68,39.27,37.12,37.57,44473
15-Aug-14,38.00,38.00,37.45,37.50,34877
14-Aug-14,38.88,39.20,37.84,38.24,32466
13-Aug-14,38.19,40.19,38.00,38.88,46224
12-Aug-14,37.74,38.24,37.74,37.93,41889
11-Aug-14,36.25,38.50,35.99,37.68,73308
8-Aug-14,35.59,36.08,35.50,35.89,18927
7-Aug-14,36.17,36.19,35.60,35.80,18349
6-Aug-14,35.59,36.13,35.59,35.86,28232
5-Aug-14,35.87,36.20,34.91,35.82,39932
4-Aug-14,33.73,36.32,33.70,36.16,55449
1-Aug-14,34.53,34.53,33.32,33.70,21095
31-Jul-14,36.06,36.48,34.48,34.76,41734
30-Jul-14,34.48,36.16,34.48,36.04,44543
29-Jul-14,34.44,34.69,34.23,34.42,28901
28-Jul-14,34.40,34.90,34.00,34.15,41129
25-Jul-14,34.01,34.89,33.35,34.35,44575
24-Jul-14,34.87,34.87,33.85,34.19,18916
23-Jul-14,34.76,34.76,34.03,34.28,50153
22-Jul-14,33.97,34.64,33.80,34.43,41144
21-Jul-14,32.87,34.09,32.87,33.60,46525
18-Jul-14,31.52,32.92,31.52,32.64,18315
17-Jul-14,31.68,32.00,31.45,31.65,17768
16-Jul-14,31.73,32.60,31.73,31.85,37337
15-Jul-14,31.70,33.40,31.27,31.70,44227
14-Jul-14,29.50,31.85,29.10,31.23,67587
11-Jul-14,28.28,29.43,28.07,29.06,30657
10-Jul-14,29.14,29.50,27.99,28.04,28628
9-Jul-14,29.23,29.50,28.70,29.50,30820
8-Jul-14,28.73,29.35,28.73,28.98,16947
7-Jul-14,29.00,29.00,28.35,28.80,22935
3-Jul-14,29.15,29.20,28.20,28.85,14594
2-Jul-14,29.09,29.40,28.59,28.99,31208
1-Jul-14,28.10,29.70,27.66,29.24,38725
30-Jun-14,26.14,28.00,26.12,27.96,42424
27-Jun-14,27.13,27.48,25.90,25.93,479572
26-Jun-14,27.17,27.67,26.16,26.93,27034
25-Jun-14,26.74,27.83,25.57,27.30,41985
24-Jun-14,27.91,28.42,25.41,26.67,38879
23-Jun-14,28.88,28.98,27.91,27.91,42817
20-Jun-14,27.60,29.01,27.60,28.66,47963
19-Jun-14,27.39,27.52,26.52,27.37,22981
18-Jun-14,26.52,27.42,26.02,27.16,31340
17-Jun-14,26.43,27.33,24.24,26.34,25227
16-Jun-14,26.48,27.42,25.54,26.59,23369
13-Jun-14,26.57,27.05,26.36,26.45,10806
12-Jun-14,26.85,26.98,25.82,26.45,14156
11-Jun-14,26.81,27.27,26.66,26.97,35333
10-Jun-14,26.42,27.00,26.24,26.77,13424
9-Jun-14,26.42,26.70,26.19,26.61,17461
6-Jun-14,26.98,27.17,26.05,26.31,15711
5-Jun-14,26.49,27.44,26.49,26.61,16756
4-Jun-14,26.27,26.86,26.20,26.28,18712
3-Jun-14,25.57,26.73,25.57,26.10,28644
2-Jun-14,25.99,26.36,25.61,25.80,10279
30-May-14,24.25,27.16,24.25,25.93,33403
29-May-14,23.99,24.24,23.99,24.20,10044
28-May-14,24.00,24.03,23.82,23.99,12974
27-May-14,23.82,24.33,23.82,24.04,28108
23-May-14,24.00,24.24,23.74,23.99,19490
22-May-14,24.00,24.65,23.94,23.99,28061
21-May-14,24.00,24.41,23.76,24.00,39665
20-May-14,23.84,24.31,23.63,24.00,16881
19-May-14,23.80,24.15,23.40,23.99,21041
16-May-14,23.87,24.00,23.71,23.87,6705
15-May-14,23.95,24.00,23.70,23.80,5718
14-May-14,24.00,24.11,23.58,23.95,16299
13-May-14,23.73,24.20,22.82,23.92,14252
12-May-14,23.89,24.50,23.04,23.98,17224
9-May-14,23.28,23.80,23.28,23.55,15467
8-May-14,23.28,23.97,23.28,23.80,13986
7-May-14,24.09,24.09,23.01,23.44,9606
6-May-14,24.09,24.44,23.50,23.96,18936
5-May-14,23.83,24.20,23.45,24.04,20494
2-May-14,24.45,24.60,23.90,23.95,19988
1-May-14,24.95,24.95,22.53,24.28,34745
30-Apr-14,24.65,24.90,24.39,24.89,10882
29-Apr-14,24.86,24.99,24.43,24.73,26515
28-Apr-14,23.99,25.00,23.36,24.99,52506
25-Apr-14,23.24,23.82,22.83,23.82,21576
24-Apr-14,22.89,23.50,22.50,23.19,12917
23-Apr-14,21.22,23.28,21.22,23.00,19324
22-Apr-14,21.64,22.69,21.50,22.57,21108
21-Apr-14,21.95,22.45,21.10,22.00,14899
17-Apr-14,21.23,22.15,20.14,21.84,28093
16-Apr-14,21.90,22.66,21.10,21.36,19989
15-Apr-14,21.68,22.09,20.71,21.84,10228
14-Apr-14,20.45,21.42,20.11,21.00,12110
11-Apr-14,20.15,20.43,20.15,20.40,5741
