Date,Open,High,Low,Close,Volume
31-Dec-14,29.72,29.77,29.40,29.42,2640932
30-Dec-14,29.30,29.60,29.26,29.57,1130213
29-Dec-14,29.26,29.43,29.15,29.38,773402
26-Dec-14,29.38,29.58,29.25,29.31,523570
24-Dec-14,29.41,29.59,29.33,29.36,454179
23-Dec-14,29.30,29.55,29.16,29.48,1287495
22-Dec-14,28.53,29.30,28.52,29.15,1681103
19-Dec-14,28.30,28.72,28.21,28.52,3444437
18-Dec-14,28.55,28.85,27.76,28.45,3695051
17-Dec-14,27.52,28.27,27.52,28.19,2024988
16-Dec-14,28.63,28.71,27.52,27.55,2726704
15-Dec-14,28.31,28.31,27.62,28.08,2180562
12-Dec-14,27.99,28.46,27.73,28.18,1345055
11-Dec-14,28.36,28.88,28.28,28.45,4089070
10-Dec-14,28.64,28.76,28.26,28.31,1357491
9-Dec-14,28.47,28.80,28.21,28.64,1679540
8-Dec-14,28.84,29.02,28.42,28.71,1149017
5-Dec-14,28.89,29.04,28.64,28.96,1160443
4-Dec-14,29.25,29.39,28.83,28.97,1759717
3-Dec-14,29.25,29.25,28.81,29.05,1155835
2-Dec-14,29.01,29.29,28.93,29.07,1342017
1-Dec-14,29.10,29.21,28.85,29.13,1399046
28-Nov-14,28.82,29.18,28.65,29.15,1060752
26-Nov-14,28.54,28.71,27.23,28.67,1219781
25-Nov-14,28.17,28.54,28.17,28.41,1373780
24-Nov-14,28.12,28.53,28.08,28.30,1345095
21-Nov-14,28.88,28.88,28.16,28.29,1301577
20-Nov-14,28.40,28.50,27.95,28.13,1795853
19-Nov-14,28.37,28.48,27.77,27.95,4177603
18-Nov-14,28.38,28.52,28.32,28.37,1007376
17-Nov-14,28.34,28.49,28.21,28.38,1285577
14-Nov-14,28.50,28.50,28.18,28.40,918065
13-Nov-14,28.00,28.40,27.63,28.28,1840061
12-Nov-14,27.65,27.98,27.49,27.90,1205706
11-Nov-14,27.77,27.85,27.50,27.76,1113133
10-Nov-14,27.63,27.93,27.48,27.81,1350456
7-Nov-14,28.05,28.14,27.55,27.70,2272658
6-Nov-14,28.12,28.12,27.70,27.87,1536963
5-Nov-14,28.49,28.49,27.03,28.13,4660754
4-Nov-14,25.95,26.33,25.60,25.77,2381213
3-Nov-14,26.53,26.53,25.81,26.25,1940518
31-Oct-14,26.64,26.64,25.79,26.14,2314987
30-Oct-14,25.60,25.94,25.51,25.82,1175576
29-Oct-14,25.74,25.92,25.60,25.66,1347923
28-Oct-14,25.47,25.70,25.33,25.65,1480932
27-Oct-14,25.58,25.82,25.17,25.41,1023394
24-Oct-14,25.34,25.38,25.03,25.31,1158973
23-Oct-14,25.20,25.44,25.00,25.20,1580854
22-Oct-14,25.49,25.85,24.82,24.86,1531292
21-Oct-14,25.35,25.42,24.97,25.41,2285747
20-Oct-14,24.42,24.74,24.20,24.71,1748748
17-Oct-14,23.78,24.40,23.73,24.10,5533710
16-Oct-14,23.93,24.14,23.48,23.79,4461669
15-Oct-14,23.95,24.51,22.37,23.70,10266887
14-Oct-14,27.39,27.82,26.48,27.74,7265767
13-Oct-14,27.52,27.55,26.69,27.23,3761491
10-Oct-14,28.18,28.81,27.74,27.80,2934979
9-Oct-14,29.87,29.95,28.79,28.87,1901993
8-Oct-14,29.25,30.20,29.19,29.43,2030182
7-Oct-14,28.00,29.97,28.00,29.55,3721944
6-Oct-14,28.88,30.60,28.72,29.92,8176829
3-Oct-14,28.02,28.27,28.02,28.13,1318554
2-Oct-14,27.94,28.04,27.59,27.88,1462017
1-Oct-14,28.48,28.49,27.87,27.90,2152942
30-Sep-14,28.35,28.59,28.20,28.52,2987291
29-Sep-14,28.16,28.34,27.96,28.29,2147043
26-Sep-14,28.21,28.41,27.88,28.35,2579636
25-Sep-14,28.53,28.60,28.09,28.27,1364452
24-Sep-14,28.02,28.63,27.90,28.62,2421371
23-Sep-14,28.29,28.29,27.86,27.87,1178912
22-Sep-14,28.85,28.98,28.36,28.38,932223
19-Sep-14,29.07,29.25,28.78,28.99,2668924
18-Sep-14,28.89,29.18,28.76,28.87,1038137
17-Sep-14,28.91,29.10,28.67,28.93,1497835
16-Sep-14,28.69,28.91,28.46,28.80,1272063
15-Sep-14,29.04,29.04,28.70,28.73,1698109
12-Sep-14,29.59,29.59,28.68,28.92,2319054
11-Sep-14,29.36,29.43,29.18,29.34,1382338
10-Sep-14,29.50,29.66,29.31,29.41,1330862
9-Sep-14,29.76,29.80,29.57,29.57,1402575
8-Sep-14,30.04,30.23,29.66,29.87,1763679
5-Sep-14,29.56,30.19,29.56,30.16,1311106
4-Sep-14,29.56,29.98,29.53,29.75,1080958
3-Sep-14,29.78,29.78,29.45,29.57,1440863
2-Sep-14,29.57,29.72,29.39,29.65,1778648
29-Aug-14,29.40,29.65,29.24,29.52,1310195
28-Aug-14,29.42,29.58,29.25,29.29,1276178
27-Aug-14,29.57,29.57,29.36,29.45,1178001
26-Aug-14,29.41,29.68,29.41,29.49,1009890
25-Aug-14,29.74,29.76,29.39,29.49,1027680
22-Aug-14,29.31,29.63,29.18,29.53,1771238
21-Aug-14,28.97,29.27,28.82,29.26,2257233
20-Aug-14,28.66,28.96,28.66,28.93,1217944
19-Aug-14,28.94,29.00,28.69,28.76,1320214
18-Aug-14,28.55,28.92,28.48,28.84,1760617
15-Aug-14,28.75,28.75,28.17,28.38,1736636
14-Aug-14,28.21,28.52,28.21,28.46,1374437
13-Aug-14,27.96,28.20,27.86,28.16,1615251
12-Aug-14,27.81,28.05,27.68,27.83,1438159
11-Aug-14,27.79,28.01,27.75,27.86,1130264
8-Aug-14,27.22,27.76,27.16,27.73,2485720
7-Aug-14,27.33,27.38,27.11,27.22,1928005
6-Aug-14,27.20,27.54,26.95,27.18,3550670
5-Aug-14,27.11,27.95,26.98,27.31,4359461
4-Aug-14,28.02,28.35,27.88,28.20,2791672
1-Aug-14,28.04,28.16,27.78,27.88,2327658
31-Jul-14,28.24,28.37,28.00,28.05,2027314
30-Jul-14,28.90,28.90,28.17,28.38,2774910
29-Jul-14,28.76,28.79,28.52,28.53,1290058
28-Jul-14,28.86,29.00,28.47,28.71,2211891
25-Jul-14,29.56,29.56,28.87,28.92,1346344
24-Jul-14,29.31,29.52,29.18,29.33,1127866
23-Jul-14,29.12,29.38,29.05,29.32,1049775
22-Jul-14,28.97,29.19,28.90,29.12,1474434
21-Jul-14,28.81,28.94,28.76,28.84,873994
18-Jul-14,28.63,29.00,28.31,28.95,1301456
17-Jul-14,28.38,28.95,28.37,28.45,1837902
16-Jul-14,28.81,28.84,28.61,28.72,1454563
15-Jul-14,28.60,28.72,28.43,28.62,1368124
14-Jul-14,28.68,28.82,28.58,28.62,1423149
11-Jul-14,28.45,28.68,28.40,28.49,1727836
10-Jul-14,28.49,28.68,28.33,28.59,2919592
9-Jul-14,28.90,29.04,28.80,28.94,2294500
8-Jul-14,29.45,29.50,28.86,28.90,2070809
7-Jul-14,29.80,29.91,29.58,29.60,1490223
3-Jul-14,29.74,29.99,29.63,29.85,853918
2-Jul-14,29.43,29.76,29.43,29.58,909970
1-Jul-14,29.41,29.80,29.36,29.59,1518834
30-Jun-14,29.08,29.38,29.05,29.36,1574275
27-Jun-14,29.08,29.20,29.01,29.09,5746643
26-Jun-14,29.07,29.20,28.92,29.12,1148289
25-Jun-14,28.85,29.18,28.69,29.12,2211886
24-Jun-14,28.88,29.39,28.77,28.92,3250248
23-Jun-14,28.85,29.12,28.68,28.98,3360288
20-Jun-14,29.11,29.28,28.65,28.79,4759818
19-Jun-14,29.03,29.17,29.00,29.13,5729976
18-Jun-14,28.85,28.94,28.74,28.88,2561525
17-Jun-14,28.86,28.94,28.74,28.80,1791281
16-Jun-14,28.95,29.04,28.60,28.95,2588004
13-Jun-14,29.15,29.26,28.90,29.11,1888441
12-Jun-14,29.45,29.54,29.08,29.19,1609486
11-Jun-14,29.61,29.73,29.39,29.43,997023
10-Jun-14,29.66,29.85,29.60,29.73,1113407
9-Jun-14,29.51,29.94,29.47,29.86,2365441
6-Jun-14,29.47,29.62,29.26,29.58,3558542
5-Jun-14,29.15,29.38,28.98,29.26,2173340
4-Jun-14,28.97,29.17,28.81,29.13,3562487
3-Jun-14,28.79,29.20,28.79,29.06,3225913
2-Jun-14,29.10,29.23,28.90,28.93,4046660
30-May-14,29.23,29.28,28.91,29.13,1927784
29-May-14,29.17,29.28,28.88,29.12,3138804
28-May-14,29.25,29.33,29.02,29.02,1674617
27-May-14,28.55,29.25,28.55,29.20,2531707
23-May-14,28.35,28.62,28.18,28.54,2017381
22-May-14,28.24,28.45,28.14,28.16,5086009
21-May-14,28.16,28.50,28.14,28.27,2278317
20-May-14,28.34,28.49,27.98,28.04,2239757
19-May-14,28.28,28.57,28.26,28.43,1718026
16-May-14,28.42,28.51,28.07,28.45,2413327
15-May-14,28.25,28.38,27.76,28.37,2095703
14-May-14,28.48,28.60,28.34,28.41,1500782
13-May-14,28.85,28.98,28.54,28.63,2395623
12-May-14,28.25,28.96,28.25,28.79,2705778
9-May-14,28.35,28.48,27.92,28.10,4006450
8-May-14,28.06,29.13,27.86,28.50,3677961
7-May-14,28.83,29.01,28.23,28.55,2150558
6-May-14,29.04,29.23,28.70,28.72,1194733
5-May-14,28.92,29.29,28.65,29.15,1657599
2-May-14,29.34,29.48,28.89,29.05,2568682
1-May-14,29.18,29.66,28.77,29.19,3269301
30-Apr-14,28.98,29.15,28.63,29.06,2292730
29-Apr-14,29.06,29.26,28.83,29.07,1393919
28-Apr-14,29.45,29.49,28.45,28.98,2211106
25-Apr-14,29.79,29.79,29.17,29.24,1687322
24-Apr-14,29.83,29.97,29.52,29.92,1817323
23-Apr-14,29.55,29.76,29.46,29.65,1373640
22-Apr-14,29.42,29.71,29.31,29.62,1780503
21-Apr-14,29.45,29.63,29.22,29.42,1268855
17-Apr-14,29.41,29.60,29.00,29.52,1681801
16-Apr-14,29.35,29.53,29.13,29.37,1757466
15-Apr-14,28.62,29.22,28.30,29.16,3545375
14-Apr-14,28.59,28.74,28.21,28.50,2076394
11-Apr-14,28.34,28.90,28.17,28.30,2595937
10-Apr-14,29.57,29.68,28.65,28.65,3885955
9-Apr-14,28.85,29.66,28.72,29.63,2737071
8-Apr-14,28.99,29.15,28.54,28.65,3454542
7-Apr-14,29.19,29.43,28.74,28.97,3238540
4-Apr-14,30.45,30.56,29.27,29.28,4108315
3-Apr-14,30.36,30.68,29.96,30.21,2243509
2-Apr-14,29.88,30.31,29.78,30.28,4154934
1-Apr-14,28.92,30.00,28.92,29.83,6785076
31-Mar-14,28.79,28.98,28.64,28.87,4148789
28-Mar-14,28.37,28.77,28.29,28.62,2733210
27-Mar-14,28.14,28.39,27.96,28.31,3279135
26-Mar-14,28.72,28.93,27.95,28.27,2946326
25-Mar-14,28.51,28.81,28.07,28.46,3182805
24-Mar-14,29.04,29.20,28.18,28.41,2760504
21-Mar-14,29.21,29.47,28.78,29.03,4781017
20-Mar-14,29.00,29.31,28.92,28.98,1638412
19-Mar-14,29.21,29.30,28.90,29.11,1123250
18-Mar-14,29.11,29.37,29.00,29.26,1219521
17-Mar-14,29.19,29.25,28.89,29.14,1341325
14-Mar-14,28.66,29.05,28.64,29.00,1902916
13-Mar-14,29.36,29.39,28.77,28.86,1387416
12-Mar-14,28.95,29.37,28.74,29.22,1369738
11-Mar-14,29.49,29.54,28.96,29.13,2623404
10-Mar-14,29.50,29.56,29.20,29.50,2248775
7-Mar-14,29.49,29.60,28.80,29.34,2229713
6-Mar-14,29.23,29.44,29.07,29.31,1977767
5-Mar-14,29.23,29.38,29.11,29.24,1524866
4-Mar-14,28.86,29.45,28.86,29.21,2060174
3-Mar-14,29.03,29.16,28.64,28.84,2997501
28-Feb-14,30.00,30.00,28.70,29.20,5894580
27-Feb-14,29.61,29.72,29.46,29.67,2222239
26-Feb-14,29.66,29.83,29.50,29.61,1657631
25-Feb-14,29.41,29.55,29.25,29.53,1432235
24-Feb-14,29.89,30.07,29.38,29.45,2125451
21-Feb-14,29.45,30.12,29.31,29.87,3709300
20-Feb-14,29.09,29.36,28.96,29.31,1262591
19-Feb-14,28.85,29.08,28.77,29.05,2179772
18-Feb-14,28.61,29.09,28.39,29.01,2026286
14-Feb-14,28.17,28.77,28.17,28.53,1893471
13-Feb-14,27.75,28.66,27.75,28.52,2895564
12-Feb-14,27.79,28.02,27.75,27.93,1477568
11-Feb-14,27.31,27.85,27.21,27.72,1808706
10-Feb-14,27.48,27.59,27.22,27.28,1277746
7-Feb-14,26.97,27.54,26.76,27.44,1688543
6-Feb-14,26.25,26.89,26.22,26.84,2243739
5-Feb-14,26.12,26.32,25.84,26.24,2493817
4-Feb-14,26.16,26.42,26.01,26.12,3228360
3-Feb-14,26.57,26.70,25.58,25.92,2920194
31-Jan-14,26.37,26.89,26.19,26.71,2353903
30-Jan-14,27.00,27.24,26.82,27.10,1844844
29-Jan-14,27.04,27.29,26.73,26.75,2079530
28-Jan-14,27.00,27.52,27.00,27.27,1919187
27-Jan-14,27.69,27.75,26.78,27.07,2770334
24-Jan-14,28.06,28.19,27.50,27.53,4042783
23-Jan-14,27.93,28.21,27.91,28.21,2043745
22-Jan-14,27.99,28.38,27.96,28.16,1880946
21-Jan-14,28.28,28.36,27.78,27.98,1269957
17-Jan-14,28.08,28.46,27.96,28.10,1866870
16-Jan-14,28.31,28.52,28.15,28.20,1478696
15-Jan-14,28.00,28.43,27.89,28.40,2316309
14-Jan-14,27.78,28.22,27.52,28.14,2121229
13-Jan-14,28.35,28.54,27.58,27.75,2381169
10-Jan-14,28.76,28.83,28.44,28.52,1835666
9-Jan-14,29.00,29.11,28.37,28.55,2398000
8-Jan-14,29.16,29.25,28.80,28.96,1479428
7-Jan-14,29.21,29.26,28.94,29.16,2140856
6-Jan-14,29.16,29.30,29.10,29.18,2478198
3-Jan-14,29.14,29.28,29.06,29.12,1975935
2-Jan-14,29.34,29.35,29.03,29.21,2957314
31-Dec-13,29.28,29.54,29.19,29.35,2082421
30-Dec-13,29.22,29.48,29.01,29.34,1348282
27-Dec-13,29.48,29.57,29.11,29.22,1421743
26-Dec-13,29.32,29.52,29.01,29.34,1796407
24-Dec-13,28.79,29.23,28.69,29.12,880679
23-Dec-13,28.31,28.90,28.20,28.85,1903881
20-Dec-13,28.30,28.76,28.00,28.15,6239982
19-Dec-13,28.42,28.43,28.02,28.22,2078199
18-Dec-13,28.01,28.47,27.57,28.40,2103040
17-Dec-13,27.78,27.97,27.43,27.76,1472125
16-Dec-13,27.28,27.99,27.26,27.73,1603679
13-Dec-13,27.60,27.75,27.38,27.66,1488172
12-Dec-13,27.28,27.52,27.22,27.30,1975707
11-Dec-13,27.54,27.69,27.14,27.22,2389105
10-Dec-13,27.32,27.63,27.27,27.46,2244154
9-Dec-13,27.71,27.75,27.34,27.38,2845056
6-Dec-13,28.00,28.21,27.48,27.68,1690465
5-Dec-13,27.61,27.74,27.34,27.49,2374915
4-Dec-13,27.89,27.99,27.39,27.72,1419981
3-Dec-13,28.16,28.31,27.85,28.07,1541713
2-Dec-13,28.10,28.65,28.02,28.24,2246215
29-Nov-13,27.98,28.25,27.80,28.08,955944
27-Nov-13,27.84,27.90,27.64,27.85,1208478
26-Nov-13,27.54,27.94,27.42,27.86,2888480
25-Nov-13,27.55,27.73,27.43,27.57,1986026
22-Nov-13,27.62,27.79,27.46,27.59,1887383
21-Nov-13,27.64,27.83,27.55,27.60,2045368
20-Nov-13,27.98,28.09,27.48,27.61,2003741
19-Nov-13,27.90,28.22,27.69,27.92,1773705
18-Nov-13,28.23,28.42,27.82,27.93,1815201
15-Nov-13,28.40,28.42,28.06,28.32,1812373
14-Nov-13,28.05,28.15,27.82,28.13,1528229
13-Nov-13,27.32,28.05,27.15,28.05,1668714
12-Nov-13,27.67,27.97,27.54,27.60,2220995
11-Nov-13,27.24,28.01,27.20,27.82,2298073
8-Nov-13,27.00,27.72,26.85,27.43,2573183
7-Nov-13,27.63,27.85,26.94,26.98,2786397
6-Nov-13,28.00,28.12,27.50,27.58,2175259
5-Nov-13,27.32,27.96,26.97,27.75,3483458
4-Nov-13,27.05,27.24,26.92,27.14,2091443
1-Nov-13,27.17,27.30,26.87,27.04,2566188
31-Oct-13,26.98,27.27,26.84,26.96,3362030
30-Oct-13,27.02,27.19,26.94,27.11,2784178
29-Oct-13,26.90,27.18,26.85,26.95,3104666
28-Oct-13,26.76,27.06,26.65,26.84,3262280
25-Oct-13,27.24,27.24,26.62,26.72,1913409
24-Oct-13,26.49,26.92,26.41,26.81,2789982
23-Oct-13,26.50,26.62,26.27,26.37,2145578
22-Oct-13,26.69,26.97,26.44,26.56,3238083
21-Oct-13,27.23,27.34,26.50,26.65,3298528
18-Oct-13,26.42,27.26,26.34,27.10,3452558
17-Oct-13,26.16,26.37,25.89,26.33,2110372
16-Oct-13,25.74,26.24,25.45,26.09,2670022
15-Oct-13,25.70,25.78,25.35,25.47,3061518
14-Oct-13,25.00,26.02,24.85,25.74,6051254
11-Oct-13,24.58,24.89,24.52,24.72,2111399
10-Oct-13,23.92,24.74,23.89,24.50,4860087
9-Oct-13,23.48,23.58,22.83,22.86,4473037
8-Oct-13,24.13,24.25,23.42,23.44,1883326
7-Oct-13,24.13,24.26,24.05,24.22,1675322
4-Oct-13,24.13,24.43,24.08,24.42,1292656
3-Oct-13,24.23,24.32,23.96,24.11,3438470
2-Oct-13,23.69,24.28,23.66,24.28,1735484
1-Oct-13,23.54,23.83,23.47,23.83,2039791
30-Sep-13,23.49,23.57,23.34,23.47,3789020
27-Sep-13,23.86,23.93,23.70,23.75,1314920
26-Sep-13,23.96,24.17,23.89,23.96,1284992
25-Sep-13,23.86,24.06,23.78,23.92,2561736
24-Sep-13,24.02,24.41,23.87,23.87,3146179
23-Sep-13,24.64,24.64,24.04,24.05,3351722
20-Sep-13,24.23,24.55,24.10,24.53,3467524
19-Sep-13,24.35,24.37,24.10,24.13,1247891
18-Sep-13,23.74,24.34,23.60,24.26,1741156
