Date,Open,High,Low,Close,Volume
31-Dec-14,29.64,29.71,29.64,29.69,649
30-Dec-14,30.31,30.31,30.31,30.31,272
29-Dec-14,29.19,31.40,29.19,31.40,1800
22-Dec-14,28.91,29.11,27.06,27.06,2672
19-Dec-14,29.45,29.45,28.76,28.76,431
18-Dec-14,28.57,28.57,28.57,28.57,255
16-Dec-14,28.58,28.58,28.55,28.55,291
15-Dec-14,28.52,30.40,28.21,30.40,1954
11-Dec-14,28.88,28.88,28.88,28.88,150
26-Nov-14,29.28,29.28,29.28,29.28,174
25-Nov-14,28.38,28.38,28.38,28.38,150
24-Nov-14,28.45,28.45,28.45,28.45,100
21-Nov-14,28.08,28.45,28.08,28.45,202
20-Nov-14,28.24,28.61,28.06,28.06,1316
17-Nov-14,28.33,28.33,28.32,28.32,1351
13-Nov-14,28.77,28.77,28.77,28.77,1000
12-Nov-14,28.77,28.77,28.77,28.77,182
11-Nov-14,27.60,28.17,27.60,28.17,2370
10-Nov-14,27.31,27.84,27.31,27.84,461
7-Nov-14,28.44,28.44,27.90,27.90,300
6-Nov-14,28.46,28.46,28.05,28.05,200
5-Nov-14,28.16,28.22,27.34,28.22,342
4-Nov-14,25.77,25.79,25.76,25.79,484
3-Nov-14,26.98,27.58,26.47,27.58,2303
31-Oct-14,25.78,26.55,25.78,26.55,400
30-Oct-14,25.02,26.12,25.02,26.12,700
29-Oct-14,26.36,26.36,25.99,25.99,200
28-Oct-14,25.38,25.62,25.38,25.62,1500
27-Oct-14,25.40,25.40,25.40,25.40,209
23-Oct-14,25.44,25.44,25.44,25.44,252
22-Oct-14,25.00,25.00,25.00,25.00,203
21-Oct-14,25.35,25.35,25.35,25.35,200
20-Oct-14,25.14,25.14,25.14,25.14,251
17-Oct-14,25.01,25.01,23.76,24.53,449
16-Oct-14,25.50,25.50,23.73,23.80,1746
14-Oct-14,27.75,28.01,27.72,28.01,2478
13-Oct-14,26.73,29.69,26.73,29.69,2179
10-Oct-14,28.50,28.50,28.08,28.08,200
8-Oct-14,29.80,29.80,29.30,29.64,461
7-Oct-14,29.82,29.87,29.82,29.87,200
6-Oct-14,30.06,30.07,30.06,30.07,3225
3-Oct-14,28.09,28.09,28.09,28.09,100
2-Oct-14,27.84,27.84,27.65,27.65,351
24-Sep-14,28.25,28.27,28.25,28.27,600
19-Sep-14,28.95,28.98,28.90,28.91,998
16-Sep-14,28.37,28.53,28.36,28.53,2795
15-Sep-14,28.86,28.86,28.86,28.86,224
12-Sep-14,29.55,29.55,29.55,29.55,100
11-Sep-14,29.20,29.22,29.20,29.22,300
8-Sep-14,29.72,29.86,29.66,29.78,5468
5-Sep-14,30.13,30.16,30.13,30.16,207
4-Sep-14,30.17,30.17,29.98,30.00,1028
28-Aug-14,29.81,29.81,29.38,29.38,321
26-Aug-14,29.43,29.43,29.43,29.43,262
