Date,Open,High,Low,Close,Volume
31-Dec-14,9.15,9.99,8.50,9.90,18254
29-Dec-14,9.30,9.35,9.30,9.35,200
26-Dec-14,9.35,9.35,9.35,9.35,4100
23-Dec-14,9.00,9.00,8.50,8.70,350
22-Dec-14,9.20,9.30,9.20,9.20,2076
18-Dec-14,9.14,9.14,9.14,9.14,260
17-Dec-14,9.04,9.04,9.04,9.04,1100
16-Dec-14,9.00,9.00,8.90,8.90,1465
15-Dec-14,9.00,9.00,9.00,9.00,2600
11-Dec-14,8.90,9.00,8.90,9.00,363
5-Dec-14,8.90,8.90,8.55,8.55,750
4-Dec-14,9.00,9.00,9.00,9.00,300
28-Nov-14,8.90,8.90,8.90,8.90,300
26-Nov-14,8.90,8.90,8.90,8.90,200
25-Nov-14,8.90,8.90,8.90,8.90,1000
21-Nov-14,8.01,9.00,8.01,9.00,1620
17-Nov-14,9.00,9.00,9.00,9.00,1320
14-Nov-14,8.01,8.01,8.01,8.01,300
13-Nov-14,8.80,8.80,8.80,8.80,220
12-Nov-14,9.00,9.00,9.00,9.00,200
10-Nov-14,9.00,9.00,9.00,9.00,350
7-Nov-14,8.15,8.15,8.15,8.15,100
5-Nov-14,7.95,8.00,7.95,8.00,1733
4-Nov-14,7.80,7.95,7.80,7.95,1803
3-Nov-14,7.85,7.85,7.85,7.85,950
30-Oct-14,7.70,7.70,7.70,7.70,150
29-Oct-14,7.60,8.00,7.60,8.00,700
22-Oct-14,7.55,7.55,7.55,7.55,500
17-Oct-14,7.50,7.50,7.50,7.50,888
16-Oct-14,7.55,7.55,7.45,7.45,4500
7-Oct-14,7.50,7.50,7.50,7.50,296
6-Oct-14,8.00,8.00,8.00,8.00,300
3-Oct-14,8.00,8.00,8.00,8.00,381
26-Sep-14,8.00,8.00,8.00,8.00,200
24-Sep-14,8.10,8.15,8.10,8.15,605
23-Sep-14,8.00,8.00,8.00,8.00,300
22-Sep-14,8.05,8.10,8.05,8.10,250
19-Sep-14,8.00,8.00,8.00,8.00,540
18-Sep-14,8.00,8.00,8.00,8.00,204
16-Sep-14,8.00,8.00,8.00,8.00,100
15-Sep-14,8.00,8.00,8.00,8.00,620
12-Sep-14,8.15,8.15,7.95,8.00,7200
11-Sep-14,8.00,8.15,8.00,8.00,1500
10-Sep-14,8.00,8.00,8.00,8.00,100
8-Sep-14,7.68,7.68,7.68,7.68,1950
4-Sep-14,8.11,8.11,7.75,7.76,1475
3-Sep-14,8.05,8.05,8.05,8.05,100
2-Sep-14,8.02,8.02,8.02,8.02,300
29-Aug-14,8.11,8.11,8.00,8.00,690
28-Aug-14,8.00,8.11,8.00,8.11,400
27-Aug-14,8.00,8.00,8.00,8.00,800
26-Aug-14,8.00,8.00,8.00,8.00,1300
25-Aug-14,8.00,8.00,8.00,8.00,2550
22-Aug-14,8.00,8.00,7.99,8.00,1800
