Date,Open,High,Low,Close,Volume
31-Dec-14,35.20,35.28,35.20,35.26,3225
30-Dec-14,35.44,35.58,35.14,35.58,4433
29-Dec-14,36.79,36.79,35.83,35.83,908
24-Dec-14,38.07,38.07,38.00,38.00,2175
23-Dec-14,36.25,36.30,36.25,36.30,1700
22-Dec-14,35.91,35.91,35.75,35.75,4037
19-Dec-14,35.98,35.98,35.98,35.98,148
18-Dec-14,36.55,36.56,36.44,36.44,720
17-Dec-14,33.53,34.90,33.53,34.90,2574
16-Dec-14,33.68,34.00,33.54,34.00,1524
15-Dec-14,34.45,34.45,34.45,34.45,1500
12-Dec-14,35.60,35.60,34.50,34.50,1220
10-Dec-14,36.80,36.80,36.60,36.60,4214
9-Dec-14,36.68,37.00,36.68,37.00,489
8-Dec-14,39.05,39.05,37.92,37.92,20992
5-Dec-14,39.15,39.35,39.15,39.35,700
4-Dec-14,39.28,39.28,39.28,39.28,700
3-Dec-14,39.25,39.25,39.25,39.25,111
2-Dec-14,38.22,38.63,38.22,38.63,611
1-Dec-14,37.70,37.70,37.70,37.70,100
28-Nov-14,37.91,37.91,37.60,37.60,718
26-Nov-14,38.55,38.55,38.55,38.55,361
25-Nov-14,39.68,39.68,39.10,39.10,1374
21-Nov-14,40.33,40.34,40.33,40.34,1060
20-Nov-14,40.31,40.73,40.27,40.65,3678
19-Nov-14,41.09,41.09,41.09,41.09,500
17-Nov-14,40.30,40.30,40.30,40.30,200
12-Nov-14,40.90,40.97,40.89,40.97,515
11-Nov-14,41.60,41.60,41.60,41.60,100
10-Nov-14,41.40,41.40,41.40,41.40,138
7-Nov-14,41.14,41.14,40.60,40.60,464
6-Nov-14,41.28,41.28,41.28,41.28,338
4-Nov-14,41.13,41.13,40.98,40.98,500
31-Oct-14,40.83,41.30,40.83,41.20,525
30-Oct-14,40.34,40.34,39.79,39.79,860
29-Oct-14,41.14,41.70,40.95,40.95,6853
28-Oct-14,40.75,40.79,40.45,40.62,1500
27-Oct-14,39.70,39.77,39.70,39.77,2100
24-Oct-14,40.18,40.18,40.18,40.18,125
23-Oct-14,39.66,40.53,39.66,40.17,1427
22-Oct-14,39.20,39.30,39.00,39.07,2100
21-Oct-14,38.49,38.91,38.49,38.91,4800
20-Oct-14,37.87,37.87,37.78,37.80,1460
17-Oct-14,38.80,38.80,38.80,38.80,600
16-Oct-14,35.98,37.57,35.68,37.57,2708
15-Oct-14,37.05,37.05,31.89,37.04,6232
13-Oct-14,40.28,40.28,40.28,40.28,195
10-Oct-14,41.36,41.36,41.29,41.34,1785
9-Oct-14,41.70,41.70,41.70,41.70,501
8-Oct-14,42.49,42.50,41.80,41.80,2725
7-Oct-14,43.29,43.29,42.08,42.08,8522
2-Oct-14,43.63,44.29,43.63,43.95,2900
1-Oct-14,45.07,45.07,43.52,43.52,9275
30-Sep-14,45.97,46.14,45.80,46.14,1944
29-Sep-14,45.61,45.61,45.46,45.60,1968
26-Sep-14,47.19,47.19,46.57,46.75,2342
24-Sep-14,46.95,47.18,46.95,47.18,200
23-Sep-14,47.52,47.52,47.52,47.52,232
22-Sep-14,48.08,48.13,47.74,47.86,2260
19-Sep-14,49.12,49.12,48.43,48.43,1147
18-Sep-14,49.72,49.73,49.47,49.72,6582
17-Sep-14,48.74,48.74,48.56,48.56,674
16-Sep-14,48.45,48.45,48.45,48.45,235
15-Sep-14,48.82,48.82,48.65,48.74,2233
12-Sep-14,48.83,49.30,48.83,49.25,1065
11-Sep-14,47.07,47.23,47.07,47.23,341
10-Sep-14,47.40,47.58,47.40,47.58,600
9-Sep-14,47.50,47.50,46.69,46.82,1810
8-Sep-14,46.38,46.40,46.38,46.40,1100
5-Sep-14,45.47,45.47,45.35,45.35,400
4-Sep-14,45.34,46.00,45.34,46.00,3100
3-Sep-14,45.75,45.75,44.95,44.95,300
2-Sep-14,44.67,44.88,44.67,44.88,2000
29-Aug-14,43.04,43.09,42.89,43.09,5125
28-Aug-14,43.29,43.29,42.75,42.75,2562
27-Aug-14,44.40,44.40,43.71,43.71,11696
26-Aug-14,44.43,44.71,44.35,44.71,2845
25-Aug-14,44.89,44.90,44.70,44.70,8000
22-Aug-14,45.25,46.16,45.00,45.04,500
21-Aug-14,45.90,45.90,45.44,45.44,2700
20-Aug-14,45.75,46.16,45.75,46.14,1000
19-Aug-14,44.44,44.46,44.44,44.46,600
18-Aug-14,44.48,44.48,44.48,44.48,100
15-Aug-14,45.10,45.10,43.00,43.25,2800
14-Aug-14,45.48,45.78,45.16,45.16,2400
13-Aug-14,46.60,46.60,46.46,46.46,1300
8-Aug-14,45.84,45.84,45.30,45.30,3660
7-Aug-14,47.55,47.75,46.56,46.56,500
6-Aug-14,46.86,47.60,46.86,47.60,585
1-Aug-14,49.36,49.46,48.12,48.12,610
31-Jul-14,50.41,50.41,49.35,49.35,3710
30-Jul-14,48.47,49.45,48.47,49.43,12526
29-Jul-14,47.33,47.33,47.13,47.14,600
25-Jul-14,47.84,47.84,47.50,47.50,2700
24-Jul-14,48.99,49.00,48.99,49.00,400
23-Jul-14,48.85,48.85,47.17,47.31,900
17-Jul-14,48.84,48.90,48.84,48.90,1105
15-Jul-14,50.30,50.55,49.50,50.05,800
