Date,Open,High,Low,Close,Volume
31-Dec-14,288.10,290.00,284.25,284.26,51444
30-Dec-14,283.60,291.54,282.65,288.60,19510
29-Dec-14,283.25,284.91,280.00,283.25,20516
26-Dec-14,279.20,284.45,279.17,284.01,9155
24-Dec-14,279.39,281.69,279.05,281.69,9082
23-Dec-14,282.55,282.99,276.00,281.30,14078
22-Dec-14,283.00,283.87,276.41,279.83,12539
19-Dec-14,267.44,283.78,265.05,279.88,61628
18-Dec-14,269.94,271.95,262.27,268.85,21043
17-Dec-14,264.46,268.59,258.21,265.65,38397
16-Dec-14,262.32,268.98,260.62,265.50,26683
15-Dec-14,267.14,267.14,262.00,263.97,21098
12-Dec-14,270.71,270.71,266.26,267.00,12223
11-Dec-14,272.65,273.65,270.56,271.91,12987
10-Dec-14,276.16,278.41,270.30,271.98,13629
9-Dec-14,276.41,279.01,275.00,277.47,14136
8-Dec-14,284.71,286.59,275.71,279.79,20581
5-Dec-14,285.56,286.70,283.51,286.63,14687
4-Dec-14,285.49,286.94,281.72,286.12,15856
3-Dec-14,282.38,286.42,280.83,283.79,16155
2-Dec-14,279.93,283.67,278.02,282.94,23185
1-Dec-14,277.00,280.37,277.00,278.11,34356
28-Nov-14,277.00,279.70,276.37,278.20,7604
26-Nov-14,278.76,278.98,275.41,275.41,10893
25-Nov-14,280.00,282.00,278.20,279.16,17288
24-Nov-14,279.79,279.79,275.91,278.04,17517
21-Nov-14,278.32,281.69,275.15,277.42,33119
20-Nov-14,283.10,283.10,277.36,277.38,37989
19-Nov-14,278.00,285.00,278.00,284.57,15189
18-Nov-14,283.85,286.59,279.78,280.40,17984
17-Nov-14,274.67,282.70,274.67,282.13,25625
14-Nov-14,279.18,279.30,276.80,277.50,8933
13-Nov-14,280.49,284.52,266.08,279.61,12847
12-Nov-14,279.48,285.99,275.29,282.67,12222
11-Nov-14,283.10,283.11,280.00,280.48,17668
10-Nov-14,280.92,286.22,280.12,284.03,18096
7-Nov-14,281.13,282.01,278.53,278.63,17491
6-Nov-14,277.35,282.05,275.99,280.00,42140
5-Nov-14,279.11,279.11,274.66,274.67,17778
4-Nov-14,271.77,281.92,271.77,274.73,17146
3-Nov-14,269.52,274.19,268.28,271.93,27324
31-Oct-14,269.80,272.55,268.00,271.12,16033
30-Oct-14,267.47,273.31,267.47,267.91,28867
29-Oct-14,274.69,274.86,267.11,270.51,12136
28-Oct-14,269.33,274.50,268.19,273.58,24964
27-Oct-14,262.75,268.39,262.51,265.41,21113
24-Oct-14,264.60,267.09,262.38,265.21,17819
23-Oct-14,263.99,263.99,256.72,263.65,10686
22-Oct-14,264.25,264.25,259.74,259.74,14041
21-Oct-14,253.62,265.20,253.62,264.25,40058
20-Oct-14,250.85,253.15,247.55,252.87,19590
17-Oct-14,254.14,254.14,247.50,252.61,19002
16-Oct-14,238.11,250.74,238.11,248.90,21620
15-Oct-14,234.91,243.00,231.53,242.28,23198
14-Oct-14,238.20,244.39,238.00,242.00,19373
13-Oct-14,251.00,251.05,239.66,239.66,30018
10-Oct-14,250.85,255.12,249.31,250.73,52327
9-Oct-14,256.37,257.45,251.06,252.79,29968
8-Oct-14,257.74,259.41,255.54,258.05,19088
7-Oct-14,259.25,260.38,256.84,258.43,67002
