Date,Open,High,Low,Close,Volume
31-Dec-14,16.29,16.90,16.29,16.46,325345
30-Dec-14,16.76,16.92,16.26,16.32,281092
29-Dec-14,16.86,16.95,16.71,16.82,210683
26-Dec-14,16.76,16.91,16.70,16.80,202353
24-Dec-14,16.68,16.86,16.57,16.68,105770
23-Dec-14,17.14,17.25,16.65,16.70,227856
22-Dec-14,17.01,17.14,16.95,17.04,271966
19-Dec-14,16.92,17.10,16.87,16.96,666746
18-Dec-14,17.07,17.35,16.79,16.96,303286
17-Dec-14,16.30,16.89,16.21,16.86,267144
16-Dec-14,15.92,16.54,15.92,16.30,308856
15-Dec-14,16.39,16.43,15.80,15.92,308048
12-Dec-14,16.48,16.89,16.31,16.36,159986
11-Dec-14,16.60,16.95,16.49,16.71,225435
10-Dec-14,17.08,17.22,16.49,16.50,173151
9-Dec-14,16.51,17.30,16.37,17.20,411087
8-Dec-14,16.85,17.16,16.63,16.65,143390
5-Dec-14,16.73,16.92,16.71,16.87,129462
4-Dec-14,16.80,16.91,16.56,16.74,236337
3-Dec-14,16.70,16.94,16.62,16.85,224832
2-Dec-14,16.64,16.80,16.38,16.68,436514
1-Dec-14,16.43,16.69,16.30,16.51,319296
28-Nov-14,16.66,17.00,16.42,16.45,182849
26-Nov-14,16.45,16.77,16.41,16.59,331728
25-Nov-14,16.46,16.61,16.27,16.49,390837
24-Nov-14,16.00,16.41,15.99,16.39,1046319
21-Nov-14,16.34,16.34,15.80,15.94,743087
20-Nov-14,16.10,16.26,16.06,16.09,289976
19-Nov-14,16.16,16.19,15.93,16.16,335605
18-Nov-14,16.09,16.40,16.09,16.14,264317
17-Nov-14,16.12,16.44,16.05,16.09,233902
14-Nov-14,16.41,16.65,16.16,16.19,363145
13-Nov-14,16.71,16.97,16.39,16.44,480170
12-Nov-14,16.90,17.05,16.72,16.88,436529
11-Nov-14,17.20,17.20,16.76,16.91,290221
10-Nov-14,16.85,17.28,16.75,17.23,236588
7-Nov-14,17.72,17.87,16.55,16.85,813210
6-Nov-14,18.29,18.54,17.55,17.91,378151
5-Nov-14,18.99,19.00,18.61,18.78,150638
4-Nov-14,18.43,18.94,18.43,18.90,126434
3-Nov-14,18.59,18.68,18.32,18.48,163442
31-Oct-14,18.87,18.87,18.47,18.54,207069
30-Oct-14,18.38,18.64,18.35,18.58,182828
29-Oct-14,18.79,18.99,18.28,18.42,190360
28-Oct-14,18.15,18.72,18.06,18.66,286851
27-Oct-14,17.96,18.15,17.89,18.12,125418
24-Oct-14,17.74,18.00,17.69,17.97,169354
23-Oct-14,17.66,17.84,17.59,17.68,212196
22-Oct-14,17.70,17.93,17.40,17.44,133050
21-Oct-14,17.80,17.90,17.36,17.73,147286
20-Oct-14,17.50,17.87,17.44,17.77,142022
17-Oct-14,17.93,17.93,17.45,17.54,319400
16-Oct-14,17.35,17.87,17.31,17.66,258252
15-Oct-14,17.48,18.10,17.12,17.51,258458
14-Oct-14,17.79,17.99,17.57,17.79,215614
13-Oct-14,17.45,17.87,17.43,17.62,299170
10-Oct-14,17.19,17.77,17.15,17.40,167468
9-Oct-14,17.72,17.72,17.25,17.29,218539
8-Oct-14,17.45,17.91,17.40,17.79,178276
7-Oct-14,17.75,17.81,17.47,17.48,178497
6-Oct-14,17.81,18.03,17.75,17.82,138519
3-Oct-14,18.02,18.08,17.72,17.76,113436
2-Oct-14,17.67,18.02,17.67,17.94,134734
1-Oct-14,17.63,17.82,17.46,17.67,225232
30-Sep-14,18.18,18.18,17.62,17.69,307747
29-Sep-14,17.81,17.89,17.52,17.75,319012
26-Sep-14,17.99,18.11,17.92,17.96,237099
25-Sep-14,18.00,18.16,17.80,17.99,239238
24-Sep-14,17.96,18.25,17.96,18.07,209061
23-Sep-14,17.88,18.03,17.80,17.89,139899
22-Sep-14,18.15,18.28,17.79,17.93,222449
19-Sep-14,18.75,18.80,18.23,18.24,255061
18-Sep-14,18.53,18.77,18.53,18.71,102377
17-Sep-14,18.57,18.69,18.41,18.52,151587
16-Sep-14,18.42,18.66,18.37,18.61,162439
15-Sep-14,18.72,18.72,18.42,18.50,344836
12-Sep-14,18.93,18.96,18.62,18.67,216185
11-Sep-14,18.83,19.08,18.80,18.97,144759
10-Sep-14,18.79,19.00,18.73,18.88,245909
9-Sep-14,18.63,18.84,18.50,18.73,195444
8-Sep-14,18.94,19.09,18.59,18.77,372645
5-Sep-14,18.87,18.90,18.69,18.87,220796
4-Sep-14,19.17,19.35,18.84,18.85,324441
3-Sep-14,19.38,19.54,19.12,19.15,217378
2-Sep-14,19.65,19.65,19.34,19.37,252698
29-Aug-14,19.67,19.72,19.42,19.57,171884
28-Aug-14,19.65,19.75,19.55,19.63,222888
27-Aug-14,19.69,19.80,19.40,19.64,487459
26-Aug-14,19.78,19.84,19.53,19.70,282406
25-Aug-14,19.74,19.90,19.63,19.75,163756
22-Aug-14,20.02,20.02,19.60,19.62,204584
21-Aug-14,20.04,20.13,19.76,20.01,143636
20-Aug-14,20.28,20.28,19.85,20.03,832648
19-Aug-14,20.55,20.60,20.36,20.37,104597
18-Aug-14,20.20,20.54,20.14,20.49,205320
15-Aug-14,20.38,20.49,19.81,20.07,178849
14-Aug-14,20.25,20.25,20.03,20.18,289775
13-Aug-14,20.20,20.33,20.06,20.24,120188
12-Aug-14,20.27,20.30,19.98,20.11,79016
11-Aug-14,20.36,20.53,20.25,20.31,99753
8-Aug-14,20.21,20.40,20.19,20.28,180358
7-Aug-14,20.09,20.29,19.73,20.21,232058
6-Aug-14,20.00,20.27,19.93,20.04,189928
5-Aug-14,20.06,20.25,19.89,20.03,477202
