Date,Open,High,Low,Close,Volume
31-Dec-14,15.49,15.98,15.46,15.83,630633
30-Dec-14,15.52,15.80,15.41,15.55,423789
29-Dec-14,15.61,15.90,15.45,15.61,346115
26-Dec-14,15.21,15.70,15.13,15.66,319394
24-Dec-14,14.98,15.29,14.81,15.17,305118
23-Dec-14,14.39,14.88,14.27,14.88,356657
22-Dec-14,15.10,15.16,14.25,14.32,593218
19-Dec-14,15.18,15.34,15.03,15.10,636428
18-Dec-14,15.07,15.21,14.85,15.15,468056
17-Dec-14,14.21,14.86,14.10,14.80,414959
16-Dec-14,14.12,14.64,14.06,14.21,400485
15-Dec-14,14.51,14.60,14.07,14.13,657029
12-Dec-14,14.65,14.79,14.47,14.49,697084
11-Dec-14,14.96,15.18,14.78,14.90,320282
10-Dec-14,15.48,15.60,14.83,14.91,492825
9-Dec-14,14.79,15.70,14.79,15.61,385006
8-Dec-14,15.24,15.31,14.82,15.03,799716
5-Dec-14,15.80,15.99,15.12,15.24,1080950
4-Dec-14,15.82,15.99,15.65,15.77,367285
3-Dec-14,15.17,16.00,15.14,15.94,532565
2-Dec-14,14.99,15.50,14.87,15.18,348860
1-Dec-14,15.56,15.62,14.86,15.03,660685
28-Nov-14,16.52,16.53,15.58,15.62,297113
26-Nov-14,16.60,16.77,16.50,16.54,221100
25-Nov-14,16.31,16.61,16.27,16.47,682844
24-Nov-14,16.20,16.42,16.03,16.32,496528
21-Nov-14,15.91,16.38,15.82,16.14,545594
20-Nov-14,15.25,15.58,15.05,15.56,510738
19-Nov-14,15.85,15.85,15.25,15.29,362770
18-Nov-14,16.05,16.24,15.85,15.91,537949
17-Nov-14,15.71,16.09,15.60,16.01,534687
14-Nov-14,15.56,15.86,15.26,15.72,481357
13-Nov-14,15.73,16.10,15.49,15.54,540904
12-Nov-14,15.58,15.81,15.34,15.74,566572
11-Nov-14,15.84,15.85,15.57,15.72,724314
10-Nov-14,15.64,16.21,15.50,15.90,1105306
7-Nov-14,15.30,15.64,15.10,15.56,628744
6-Nov-14,14.99,15.27,14.95,15.12,450706
5-Nov-14,14.95,15.10,14.58,14.96,377454
4-Nov-14,15.23,15.24,14.81,14.86,310508
3-Nov-14,15.67,15.70,15.22,15.32,447528
31-Oct-14,15.59,15.81,15.01,15.71,397588
30-Oct-14,15.18,15.40,15.00,15.22,353393
29-Oct-14,15.60,15.82,15.27,15.29,193953
28-Oct-14,15.05,15.60,14.96,15.57,622395
27-Oct-14,15.64,15.79,14.91,14.93,534975
24-Oct-14,16.19,16.37,15.80,15.81,398032
23-Oct-14,15.85,16.31,15.51,16.23,707713
22-Oct-14,15.99,16.09,15.54,15.68,370651
21-Oct-14,15.63,16.00,15.41,15.93,414335
20-Oct-14,15.37,15.59,15.31,15.46,380133
17-Oct-14,16.21,16.40,15.41,15.42,399076
16-Oct-14,15.16,16.06,15.16,15.96,797778
15-Oct-14,14.46,15.51,14.25,15.45,848778
14-Oct-14,14.70,14.98,14.45,14.75,481064
13-Oct-14,14.57,15.00,14.41,14.51,631200
10-Oct-14,14.83,15.20,14.46,14.51,785629
9-Oct-14,15.57,15.69,14.83,15.00,897137
8-Oct-14,15.20,15.57,14.84,15.56,851531
7-Oct-14,15.63,15.69,15.22,15.26,953908
6-Oct-14,15.51,15.57,15.15,15.30,670512
3-Oct-14,15.41,15.63,15.08,15.38,928453
2-Oct-14,16.00,16.00,13.88,14.98,3623031
1-Oct-14,16.55,16.67,15.94,16.05,760134
30-Sep-14,16.90,17.17,16.52,16.53,858605
29-Sep-14,17.17,17.27,16.90,16.97,338154
26-Sep-14,16.80,17.43,16.80,17.31,647245
25-Sep-14,17.09,17.10,16.42,16.80,553350
24-Sep-14,17.25,17.53,17.12,17.23,670498
23-Sep-14,17.00,17.30,16.97,17.12,825972
22-Sep-14,18.01,18.01,16.96,16.99,1056536
19-Sep-14,18.72,18.72,17.82,18.14,1063924
18-Sep-14,18.86,18.91,18.54,18.68,327926
17-Sep-14,19.23,19.39,18.90,18.92,224419
16-Sep-14,18.87,19.26,18.71,19.16,310437
15-Sep-14,19.25,19.29,18.86,18.98,368262
12-Sep-14,19.60,19.70,19.15,19.30,206813
11-Sep-14,19.54,19.75,19.28,19.66,229654
10-Sep-14,19.57,19.92,19.15,19.59,476159
9-Sep-14,19.33,19.87,19.32,19.57,421572
8-Sep-14,19.73,19.89,19.30,19.31,360372
5-Sep-14,19.83,20.00,19.43,19.72,406293
4-Sep-14,20.46,20.63,19.90,19.93,465877
3-Sep-14,20.45,20.65,20.24,20.47,363817
2-Sep-14,20.17,20.47,20.10,20.30,375333
29-Aug-14,20.13,20.38,19.94,20.19,281787
28-Aug-14,20.02,20.13,19.71,20.09,438657
27-Aug-14,20.54,20.62,20.04,20.05,389983
26-Aug-14,20.24,20.74,20.22,20.43,409011
25-Aug-14,20.04,20.34,20.00,20.21,247521
22-Aug-14,19.94,20.02,19.71,19.95,229102
21-Aug-14,20.00,20.01,19.50,19.96,258513
20-Aug-14,20.30,20.32,19.96,20.00,244715
19-Aug-14,20.11,20.42,20.00,20.31,494791
18-Aug-14,20.38,20.38,19.87,20.14,360573
15-Aug-14,19.75,20.14,19.59,19.87,570725
14-Aug-14,19.41,19.56,19.26,19.52,445703
13-Aug-14,19.32,19.47,19.17,19.41,541831
12-Aug-14,19.36,19.49,19.00,19.18,351254
11-Aug-14,19.42,19.64,19.29,19.39,363142
8-Aug-14,19.15,19.44,18.89,19.35,556979
7-Aug-14,19.56,19.88,18.89,19.15,578061
6-Aug-14,18.04,19.61,18.04,19.50,883241
5-Aug-14,18.69,19.01,18.66,18.83,358576
4-Aug-14,18.98,19.22,18.62,18.88,375962
1-Aug-14,18.74,19.04,18.58,18.90,479683
31-Jul-14,19.06,19.32,18.71,18.73,525519
30-Jul-14,19.38,19.52,19.12,19.35,272353
29-Jul-14,19.45,19.52,19.11,19.29,440740
28-Jul-14,19.69,19.77,19.02,19.45,608252
25-Jul-14,19.63,19.72,19.36,19.55,422314
24-Jul-14,20.85,20.89,19.75,19.76,763457
23-Jul-14,20.08,21.02,19.77,20.70,1052255
22-Jul-14,19.89,20.27,19.53,19.96,908092
21-Jul-14,19.19,19.57,18.69,19.54,1223585
18-Jul-14,17.77,18.08,17.77,18.01,193619
17-Jul-14,17.80,18.12,17.79,17.83,305620
16-Jul-14,18.14,18.19,17.93,18.00,282035
15-Jul-14,18.42,18.55,17.84,18.01,618664
14-Jul-14,18.20,18.43,17.96,18.36,265595
11-Jul-14,17.65,18.05,17.60,17.96,332647
10-Jul-14,17.64,17.97,17.49,17.60,539535
9-Jul-14,18.11,18.26,17.82,18.10,299514
8-Jul-14,17.73,18.25,17.46,17.99,720085
7-Jul-14,18.85,18.85,18.15,18.37,366931
3-Jul-14,18.67,19.00,18.59,18.91,205687
2-Jul-14,18.79,18.90,18.40,18.54,277556
1-Jul-14,18.36,19.10,18.36,18.75,693917
30-Jun-14,18.11,18.37,18.05,18.26,333659
27-Jun-14,17.50,18.18,17.50,18.15,550715
26-Jun-14,17.64,17.65,17.45,17.57,152396
25-Jun-14,17.20,17.62,17.20,17.57,205379
24-Jun-14,17.75,18.06,17.40,17.49,201859
23-Jun-14,17.62,18.07,17.59,17.90,291393
20-Jun-14,17.64,17.64,17.46,17.51,506720
19-Jun-14,17.46,17.68,17.32,17.58,198937
18-Jun-14,17.05,17.39,16.84,17.32,202387
17-Jun-14,16.99,17.15,16.70,17.10,335261
16-Jun-14,17.24,17.34,16.78,17.02,293634
13-Jun-14,17.26,17.29,16.95,17.20,184154
12-Jun-14,17.35,17.35,17.05,17.16,160076
11-Jun-14,17.33,17.50,17.17,17.44,198431
10-Jun-14,17.55,17.68,17.19,17.43,289182
9-Jun-14,17.30,17.60,17.22,17.53,311756
6-Jun-14,17.28,17.36,16.93,17.25,183039
5-Jun-14,16.88,17.18,16.72,17.14,265867
4-Jun-14,16.68,16.90,16.58,16.86,153520
3-Jun-14,16.57,16.87,16.33,16.72,681379
2-Jun-14,16.68,16.90,16.58,16.71,232997
30-May-14,17.00,17.00,16.37,16.58,334282
29-May-14,17.06,17.15,16.77,17.08,475375
28-May-14,17.06,17.16,16.78,16.94,297548
27-May-14,17.16,17.17,16.89,17.15,303552
23-May-14,16.97,17.25,16.65,16.98,421761
22-May-14,16.53,17.33,16.44,17.02,654811
21-May-14,16.36,16.68,16.24,16.53,272050
20-May-14,16.36,16.41,16.08,16.32,504300
19-May-14,15.89,16.43,15.86,16.42,202710
16-May-14,15.68,15.90,15.50,15.90,206239
15-May-14,16.04,16.18,15.51,15.71,547139
14-May-14,16.25,16.75,16.16,16.17,222759
13-May-14,16.84,16.94,16.52,16.53,281480
12-May-14,15.83,17.14,15.40,16.94,638648
9-May-14,15.09,15.57,14.96,15.52,353200
8-May-14,15.43,15.57,15.13,15.16,290198
7-May-14,15.22,15.46,15.05,15.43,406860
6-May-14,15.51,15.61,15.21,15.25,247871
5-May-14,15.31,15.64,15.16,15.52,212274
2-May-14,15.51,15.89,15.51,15.62,162166
1-May-14,15.51,15.65,15.30,15.51,237918
30-Apr-14,15.47,15.68,15.34,15.59,215692
29-Apr-14,15.65,15.80,15.53,15.57,198762
28-Apr-14,15.88,15.96,15.38,15.56,265079
25-Apr-14,16.15,16.46,15.79,15.87,190553
24-Apr-14,16.50,16.51,16.17,16.28,132454
23-Apr-14,16.49,16.57,16.36,16.44,204595
22-Apr-14,16.15,16.49,16.00,16.44,233798
21-Apr-14,16.36,16.36,15.96,16.14,122125
17-Apr-14,16.08,16.45,15.94,16.35,151826
16-Apr-14,16.24,16.24,15.90,16.10,158468
15-Apr-14,16.00,16.22,15.61,16.06,265348
14-Apr-14,15.92,16.38,15.73,15.99,282366
11-Apr-14,15.88,16.33,15.60,15.81,451303
10-Apr-14,16.51,16.59,16.00,16.05,349500
